section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
st_010375,0,st_010375_0010,新たなマターボードが産まれた。<br>貴方の辿り着くべき道筋に、貴方が<br>辿り着いたからこそ、成し得た事実。
st_010375,0,st_010375_0020,貴方は多くを見るだろう。<br>この後も、この先も、この前にも。
st_010375,0,st_010375_0030,だがそこから目を逸らしてはならない。<br>事実へと通暁し、解へと至る。<br>それは貴方にのみ許されることである。
st_010375,0,st_010375_0080,この場において、わたしは<br>信じて欲しいと、それしか言えない。<br>それ以外に、意味はないのだから。
st_010375,0,al_010050_0010,うーん、ここにきていろいろと<br>気になる動きが出て来た感じだね。
st_010375,0,al_010050_0020,特に気になるのは、あの壊れた武器……<br>あれって、アレだと思うんだけど<br>そもそもなんで壊れてるんだろう……？
st_010375,0,al_010050_0030,……ああっと、ごめん。脱線脱線。<br>シオンの目的は、あの武器の破片を<br>回収させることみたいだったね。
st_010375,0,al_010050_0040,しかも、あの仮面をつけた人も<br>同じ破片を探していたみたいだった。<br>けど、導きによってそれを阻止した。
st_010375,0,al_010050_0050,本来は凍土で眠ったままか<br>仮面の人に回収されていた破片の運命を<br>あなたが回収する未来に書き換えた。
st_010375,0,al_010050_0060,それがどんな意味を持つのか……<br>この時点でわかっているのはきっと<br>シオンだけだったんだろうなあ。
st_010375,0,al_010050_0070,そういうことも前もってぜーんぶ<br>教えてくれればいいのに……って<br>そうか、それじゃダメなんだ。
st_010375,0,al_010050_0080,教えると失敗する、という未来を<br>識っているからこそ、言えない。<br>……そういうことなのかな。
st_010375,1,st_010375_0010,Ha nacido una nueva matriz de divergencia. Una realidad que fue<br>posible precisamente porque llegaste al camino que<br>se suponía.
st_010375,1,st_010375_0020,Serás testigo de muchas cosas tanto en el futuro como en el<br>de ahora en adelante. Anteriormente también.
st_010375,1,st_010375_0030,"Sin embargo, no debes desviar la mirada. Debes aprender<br>la verdad y llegar a una solución. Eso es algo que sólo<br>te permite hacer."
st_010375,1,st_010375_0080,"En este momento, no puedo decir nada, porque no tiene sentido<br>decir nada más. Sólo pido tu fe."
st_010375,1,al_010050_0010,"Mmm. Las cosas realmente están empezando a calentarse, ¿eh?"
st_010375,1,al_010050_0020,"Y lo más desconcertante es ese arma rota.<br>Estoy bastante seguro de saber qué es, pero ¿por qué está rota?"
st_010375,1,al_010050_0030,"Ah, lo siento. Estoy divagando. Parece que el objetivo de Xion es recolectar los<br>fragmentos de esa arma."
st_010375,1,al_010050_0040,"Y esa persona enmascarada está buscando los mismos fragmentos<br>. Pero gracias a la guía de Xion, los detuviste."
st_010375,1,al_010050_0050,"Originalmente, estaba destinado a ser recogido por esa persona enmascarada<br>de donde dormía en la Tundra, pero tú lo conseguiste,<br>cambiando el futuro."
st_010375,1,al_010050_0060,"¿Qué significado tiene eso? En este punto, estoy seguro de que solo<br>Xion lo sabe."
st_010375,1,al_010050_0070,"Debería haber explicado todo desde el principio.<br>...Oh, no, supongo que no pudo."
st_010375,1,al_010050_0080,"Sabía que si te lo decía fallarías, por lo que no podía decir<br>nada. Probablemente fue algo así."
