section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
ra_010590,0,ra_010590_0010,<%me>さん<br>いいところに来てくれました。<br>ちょうど連絡しようとしてたんですよ。
ra_010590,0,ra_010590_0020,ナベリウスの調査の話なんですが<br>やはり、奥地のデータも必要そうで……
ra_010590,0,ra_010590_0030,<%me>さんは<br>事情も知ってくれているし<br>お願いしやすいなぁ、と。
ra_010590,0,ra_010590_0040,森林のデータは前回分で十分です。<br>今回はその奥、凍土のデータを<br>お願いしたいんです。
ra_010590,0,ra_010590_0050,そもそも、あの熱帯系の森林から<br>いきなり凍土が生まれていること自体<br>何かおかしいんです。
ra_010590,0,ra_010590_0060,現に存在するものなので<br>認めなければなりませんが<br>……何か、違和感があります。
ra_010590,0,ra_010590_0070,詳細なデータが存在しないのも<br>何かを隠そうとしているかのようで……
ra_010590,0,ra_010590_0080,……いえ、すみません。<br>学者が推論だけで語るべきでは<br>ありませんね。
ra_010590,0,ra_010590_0090,疑問があったら、調査あるのみ！<br>そう、調べてみれば<br>いろいろわかると思います。
ra_010590,0,ra_010590_0100,お手数をおかけしますが<br>よろしくお願いします。
ra_010590,0,ra_010590_0110,A.P.238/3/1
ra_010590,1,ra_010590_0010,"<%me><br>Momento impecable,<br><%me>.<br>Estaba a punto de contactarte."
ra_010590,1,ra_010590_0020,"Todavía estoy trabajando en mi investigación de<br>Naverius, y creo que voy a necesitar<br>datos sobre el área más adentro."
ra_010590,1,ra_010590_0030,"<%me><br>Y como ya me has ayudado<br>antes y saber lo que está pasando, usted<br>Fueron mi primera opción para pedir ayuda nuevamente."
ra_010590,1,ra_010590_0040,"Ya me has dado muchos datos sobre<br>el bosque, así que esta vez me gustaría que recolectaras<br>datos sobre el lugar que se encuentra más allá de esa zona:<br>la tundra."
ra_010590,1,ra_010590_0050,"En realidad, sólo el hecho de que haya un helado<br>terreno baldío justo al lado de un bosque tropical en<br>el primer lugar es un regalo de que algo está<br>no está bien."
ra_010590,1,ra_010590_0060,"No podemos negar que claramente existe...<br>y sin embargo, algo al respecto simplemente no<br>tener sentido."
ra_010590,1,ra_010590_0070,El hecho de que no tengamos ningún dato.<br>sobre un fenómeno tan extraño casi<br>Me hace preguntarme si alguien<br>escondiendo algo...
ra_010590,1,ra_010590_0080,"Ah, lo siento. Un erudito como yo no debería<br>hacer de un asunto tan importante una mera teoría."
ra_010590,1,ra_010590_0090,"La primera regla para ser un buen científico es:<br>Si algo es sospechoso, ¡investígalo!<br>Así que creo que aprenderemos mucho de un buen<br>mirar alrededor."
ra_010590,1,ra_010590_0100,"Lamento pedirte que te tomes tantas molestias,<br>pero espero que me eches una mano."
ra_010590,1,ra_010590_0110,A.P.238/3/1
