section,group,id,text
Title,0,name01,ゲーム内ヘルプ
Title,1,name01,¿?
mess,0,text01,ます。<c>
mess,0,text02,w>[F6]キー、[U]キー(カスタム)<c>
mess,0,text03,<yellow>【便利なキーボードショートカット】（2/2）<c><br><br>　・マグを開く：<yellow>[F4]キー、[Y]キー<c><br><br>　・カメラの遠近：<yellow>[+]キー<c> / <yellow>[-]キー<c><br>　・カメラの上下：<yellow>[/]キー<c> / <yellow>[*]キー<c><br><br>　・ロビーアクション実行：<yellow>[Alt]+[A]～[Z]キー<c>
mess,0,text04,>で ON/OFF できます）
mess,0,text05,・ダイレクトチャット切り替え：<yellow>[ScrollLock]キー<c>
mess,0,text06,<yellow>【チャット入力時の文字列代入コマンド】（1/2）<c><br><br>　・<green><lt>me<gt><c><br>　　自分のキャラクター名を代入。<br><br>　・<green><lt>target<gt><c> または <green><lt>t<gt><c><br>　　現在ターゲット中の人や物の名前を代入。<br><br>　・<green><lt>weapon<gt><c> または <green><lt>wp<gt><c><br>　　現在装備中の武器の名前を代入。<br>
mess,0,text07,スト中以外は使用できません）
mess,0,text08,<yellow>【特別な状況でのみ使用できる文字列代入コマンド】<c><br><br>　・<green><lt>basecolor<gt><c> または <green><lt>bc<gt><c><br>　　採掘基地防衛戦にて一番近い拠点の色を代入。
mess,0,text09,>[H]キー<c>
mess,0,text10,<yellow>【ウィンドウモードの便利な操作】（1/2）<c><br><br>　・リスト表示中にページ単位で進める・戻す<br>　　<yellow>[PageDown]キー<c> / <yellow>[PageUp]キー<c><br><br>　・アイテムを複数選択してまとめて操作<br>　　<yellow>[Ctrl]+クリック<c>で単体追加、<br>　　<yellow>[Shift]+クリック<c>で範囲追加<br><br>　・タブの切り替え<br>　　<yellow>[Ctrl]+[PageUp]キー<c> / <yellow>[Ctrl]+[PageDown]キー<c>
mess,0,text11,られます。
mess,1,text01,"<yellow>[PSO2 Player's Site]<c><br><br>-Podrás encontrar más información sobre los controles y el mundo de<br>Phantasy Star Online 2 en el sitio siguiente.<br><br><c 00ffff>Sitio del jugador de Phantasy Star Online 2<c><br><&URL pso2_players_manual><br><br>Este sitio también incluirá avisos sobre futuras actualizaciones y eventos,<br>¡así que asegúrese de registrarse regularmente!<br><br><yellow>Las siguientes páginas describirán características útiles del juego.<c>"
