section,group,id,text
ssq_014570,0,name_7006,ラン
ssq_014570,0,ssq_014570_0010,<%me>さん、聞こえますか？
ssq_014570,0,ssq_014570_0020,これまでの活動実績により、<br>リテムリージョンでの“独立遊撃隊”への参加が可能となりました。
ssq_014570,0,ssq_014570_0030,現在、腕に覚えのあるエアリオ、リテムのアークスが連携して、<br>各地に出没する強力なエネミーの掃討にあたっています。
ssq_014570,0,ssq_014570_0040,リューカーデバイスや、ワールドマップから、<br>この独立遊撃隊に合流することができます。
ssq_014570,0,ssq_014570_0050,それでは、健闘をお祈りし
ssq_014570,1,name_7006,Corrió
ssq_014570,1,ssq_014570_0010,"<%me>, ¿puedes oírme?"
ssq_014570,1,ssq_014570_0020,"Debido a sus destacadas contribuciones, ha sido seleccionado para unirse al Escuadrón Partidista Independiente Regional<br>de Retem."
ssq_014570,1,ssq_014570_0030,Some of the more skilled Aelio and Retem ARKS defenders are working together to<br>wipe out fierce enemies that appear in multiple areas.
ssq_014570,1,ssq_014570_0040,Puedes unirte a las operaciones del escuadrón partidista independiente desde el mapa mundial o desde<br>dispositivos Ryuker.
ssq_014570,1,ssq_014570_0050,"Pues bien, eso es todo. Buena suerte ahí fuera."
