section,group,id,text
,0,ssc_508040_0010,……ふう。
,0,ssc_508040_0020,こんな所でなにを？
,0,ssc_508040_0030,今度はなんの調査？
,0,ssc_508040_0040,ん？
,0,ssc_508040_0050,ああ、キミか。
,0,ssc_508040_0060,ん？
,0,ssc_508040_0070,ああ、キミか。<br>調査というか……。
,0,ssc_508040_0080,そこの環境管理ユニットの状態を<br>確認してたんだ。
,0,ssc_508040_0090,環境管理ユニット？
,0,ssc_508040_0100,……？
,0,ssc_508040_0110,うん、そうそう。
,0,ssc_508040_0120,ああ、ごめんごめん。
,0,ssc_508040_0130,リージョンの境界にある<br>そこの大きな機械のことだよ。
,0,ssc_508040_0140,どうやらこれが、<br>ハルファの環境を制御してるみたいなんだ。
,0,ssc_508040_0150,前々から、<br>そういう話はあったんだけどね。
,0,ssc_508040_0160,ルシエランからの情報で、<br>詳しいことがわかってきた。
,0,ssc_508040_0170,でね、これと同じようなものが、<br>外海のほうにもあるんだ。
,0,ssc_508040_0180,そんなの見たことない。
,0,ssc_508040_0190,海の外には行けない？
,0,ssc_508040_0200,まあ、そうだよね。
,0,ssc_508040_0210,うん。<br>そうなるねぇ……。
,0,ssc_508040_0220,この島全体の環境制御は、<br>あのルシエルでやってるんだ。
,0,ssc_508040_0230,島の外は、大気の構成が、<br>僕たちに適さないものになっている。
,0,ssc_508040_0240,だから、外には出られない。
,0,ssc_508040_0250,あ、ちなみに“島”っていうのは、<br>僕たちが今立っているこの大地のこと。
,0,ssc_508040_0260,ルシエランたちは、<br>ハルファ本島とか中央島とか、呼んでたね。
,0,ssc_508040_0270,……で、その“島”ってヤツなんだけど……。
,0,ssc_508040_0280,リサージェントアークスは、<br>ここ以外にも多くの島を造成していたらしい。
,0,ssc_508040_0290,ほとんどは、使われないまま<br>放棄されたって話だけど。
,0,ssc_508040_0300,そのうちのいくつかが、<br>この前、発見された実験島だね。
,0,ssc_508040_0310,クリエイティブスペースって、<br>呼んでるんだったかな。
,0,ssc_508040_0320,それぞれの島には、<br>リューカーデバイスから移動できる。
,0,ssc_508040_0330,まあ、転送先のアドレスが分かれば……だけどね。
,0,ssc_508040_0340,キミも、あの実験島には行ってみたかい？
,0,ssc_508040_0350,行った。
,0,ssc_508040_0360,まだ。
,0,ssc_508040_0370,そうなんだ。
,0,ssc_508040_0380,もしもなにか、<br>創ってみるつもりなら興味があるね。
,0,ssc_508040_0390,完成したら、見せてほしい
,1,ssc_508040_0010,Eh...
,1,ssc_508040_0020,¿Qué estás haciendo aquí?
,1,ssc_508040_0030,¿Qué estás investigando?
,1,ssc_508040_0040,¿Mmm?
,1,ssc_508040_0050,"Bueno, mira quién es."
,1,ssc_508040_0060,¿Mmm?
,1,ssc_508040_0070,"Bueno, mira quién es.<br>No es exactamente investigación..."
,1,ssc_508040_0080,Estaba revisando esa unidad de control ambiental de allí.
,1,ssc_508040_0090,¿Unidad de control ambiental?
,1,ssc_508040_0100,¿Qué?
,1,ssc_508040_0110,"Sí, eso es correcto."
,1,ssc_508040_0120,"Ah, debería explicarlo."
,1,ssc_508040_0130,Son esos grandes objetos que flotan en las fronteras regionales.
,1,ssc_508040_0140,Parecen controlar el entorno de Halfha de alguna manera.
,1,ssc_508040_0150,"Quiero decir, lo sabemos desde hace un tiempo."
,1,ssc_508040_0160,Pero los Lecielan nos dieron más información sobre ellos.
,1,ssc_508040_0170,Decían que estas cosas se pueden encontrar incluso en el extranjero.
,1,ssc_508040_0180,Nunca he visto nada parecido.
,1,ssc_508040_0190,¿Podemos ir al extranjero?
,1,ssc_508040_0200,"Sí, yo tampoco."
,1,ssc_508040_0210,"Bueno, en realidad no..."
,1,ssc_508040_0220,Todo el entorno de esta isla está controlado desde Leciel.
,1,ssc_508040_0230,El ambiente fuera de esta isla no es precisamente el adecuado para nosotros.
,1,ssc_508040_0240,Lo que significa que realmente no podemos irnos.
,1,ssc_508040_0250,"Oh. Cuando uso la palabra ""isla"", me refiero a dónde nos encontramos ahora."
,1,ssc_508040_0260,"Los lecielanos se referían a ella como ""isla principal de Halfa"" o ""isla central""."
,1,ssc_508040_0270,Hablando de islas...
,1,ssc_508040_0280,"Aparentemente, Resurgent ARKS creó muchos otros además de este."
,1,ssc_508040_0290,"Por lo que he oído, dejaron la mayoría vacías."
,1,ssc_508040_0300,Algunas de ellas son islas experimentales que descubrimos recientemente.
,1,ssc_508040_0310,"Se llamaban... ¿Espacios Creativos, creo?"
,1,ssc_508040_0320,Y puedes viajar a cada uno de ellos usando Ryuker Devices.
,1,ssc_508040_0330,"Bueno, siempre y cuando tengas la dirección correcta, claro está."
,1,ssc_508040_0340,¿Alguna vez has visto uno?
,1,ssc_508040_0350,Ya lo hice.
,1,ssc_508040_0360,Aún no.
,1,ssc_508040_0370,Oh. Bueno.
,1,ssc_508040_0380,"Si alguna vez haces algo, me encantaría verlo. Hágamelo saber"
,1,ssc_508040_0390,Muéstramelo una vez que hayas terminado.
