section,group,id,text
msn_011080_002,0,name_7006,ラン
msn_011080_002,0,msn_011080_002_0010,ごめんなさい、お呼びたてしてしまって。
msn_011080_002,0,msn_011080_002_0020,マグナス山に向かうにあたって、<br>戦いのアドバイスができればと思いまして。
msn_011080_002,0,msn_011080_002_0030,各アークスの能力は、“戦闘力”という<br>数値によって可視化されています。
msn_011080_002,0,msn_011080_002_0040,これは、それぞれのアークスの身体能力や、<br>装備している武器、防具などの能力を計測して、数値化したものです。
msn_011080_002,0,msn_011080_002_0050,そこには、個々人の戦いのセンスなどは反映されないので、<br>あくまで目安の値でしかないのですが……。
msn_011080_002,0,msn_011080_002_0060,私たちは、この戦闘力を基準にして、ハルファの危険な場所に、<br>訓練中のアークスが入り込んだりしないように制限を設けています。
msn_011080_002,0,msn_011080_002_0070,マグナス山も、そうした場所のひとつです。
msn_011080_002,0,msn_011080_002_0080,目安となる戦闘力を提示しておきますので、<br>その値を参考に、戦いの準備を進めてください。
msn_011080_002,0,msn_011080_002_0090,こちらで、しっかりとモニターしていますので、<br>頑張ってくださいね。
msn_011080_002,0,msn_011080_002_0101,ようこそ、セントラルシティへ。<br>お会いできて嬉しいです。
msn_011080_002,0,msn_011080_002_0102,これからオペレーターとして、<br>しっかりとサポートさせていただきますね。
msn_011080_002,0,msn_011080_002_0201,オペレーションのやり方で、もっとこうしてほしいとか<br>要望がありましたら、何でも言ってください。
msn_011080_002,0,msn_011080_002_0202,皆さんのやりやすいように、<br>対応していければと思いますので。
msn_011080_002,1,name_7006,Ran
msn_011080_002,1,msn_011080_002_0010,"Sorry, hope you weren't too busy..."
msn_011080_002,1,msn_011080_002_0020,I heard you were heading to Mt. Magnus and was wondering if I could offer some advice.
msn_011080_002,1,msn_011080_002_0030,All ARKS defender's abilities are represented by a figure we call Battle Power.
msn_011080_002,1,msn_011080_002_0040,"Battle Power takes the armor, weapons, and physical abilities of a defender into account, and quantifies them into a single number."
msn_011080_002,1,msn_011080_002_0050,"Of course, individual fighting style and tactics make a big difference in combat, so it's really nothing more than a rough assessment."
msn_011080_002,1,msn_011080_002_0060,"Anyway, to stop ARKS defenders in training from stumbling into situations they can't handle, entrance to dangerous areas on Halpha is restricted by Battle Power."
msn_011080_002,1,msn_011080_002_0070,Mt. Magnus is one of those areas.
msn_011080_002,1,msn_011080_002_0080,"You should be able to see the required Battle Power now, so please ready yourselves<br>and shoot for it."
msn_011080_002,1,msn_011080_002_0090,We'll be keeping an eye on your progress. Good luck with your prep.
msn_011080_002,1,msn_011080_002_0101,Welcome to Central City.<br>It's nice to meet you.
msn_011080_002,1,msn_011080_002_0102,I'll be lending you my support from here on out as your operator.
msn_011080_002,1,msn_011080_002_0201,"If you have any requests in regards to operations, or you want me to handle<br>things differently, please don't hesitate to ask."
msn_011080_002,1,msn_011080_002_0202,I hope I'll be able to support you all in a way that makes your lives easier.
