section,group,id,text
msn_011080_002,0,name_7006,ラン
msn_011080_002,0,msn_011080_002_0010,ごめんなさい、お呼びたてしてしまって。
msn_011080_002,0,msn_011080_002_0020,マグナス山に向かうにあたって、<br>戦いのアドバイスができればと思いまして。
msn_011080_002,0,msn_011080_002_0030,各アークスの能力は、“戦闘力”という<br>数値によって可視化されています。
msn_011080_002,0,msn_011080_002_0040,これは、それぞれのアークスの身体能力や、<br>装備している武器、防具などの能力を計測して、数値化したものです。
msn_011080_002,0,msn_011080_002_0050,そこには、個々人の戦いのセンスなどは反映されないので、<br>あくまで目安の値でしかないのですが……。
msn_011080_002,0,msn_011080_002_0060,私たちは、この戦闘力を基準にして、ハルファの危険な場所に、<br>訓練中のアークスが入り込んだりしないように制限を設けています。
msn_011080_002,0,msn_011080_002_0070,マグナス山も、そうした場所のひとつです。
msn_011080_002,0,msn_011080_002_0080,目安となる戦闘力を提示しておきますので、<br>その値を参考に、戦いの準備を進めてください。
msn_011080_002,0,msn_011080_002_0090,こちらで、しっかりとモニターしていますので、<br>頑張ってくださいね。
msn_011080_002,0,msn_011080_002_0101,ようこそ、セントラルシティへ。<br>お会いできて嬉しいです。
msn_011080_002,0,msn_011080_002_0102,これからオペレーターとして、<br>しっかりとサポートさせていただきますね。
msn_011080_002,0,msn_011080_002_0201,オペレーションのやり方で、もっとこうしてほしいとか<br>要望がありましたら、何でも言ってください。
msn_011080_002,0,msn_011080_002_0202,皆さんのやりやすいように、<br>対応していければと思いますので。
msn_011080_002,1,name_7006,Corrió
msn_011080_002,1,msn_011080_002_0010,"Lo siento, espero que no estuvieras demasiado ocupado..."
msn_011080_002,1,msn_011080_002_0020,Escuché que te dirigías al Monte Magnus y me preguntaba si podría ofrecerte algún consejo.
msn_011080_002,1,msn_011080_002_0030,Todas las habilidades de los defensores de ARKS están representadas por una figura que llamamos Battle Power.
msn_011080_002,1,msn_011080_002_0040,"Battle Power tiene en cuenta la armadura, las armas y las habilidades físicas de un defensor y las cuantifica en un solo número."
msn_011080_002,1,msn_011080_002_0050,"Por supuesto, el estilo y las tácticas de lucha individuales marcan una gran diferencia en el combate, por lo que en realidad no es más que una evaluación aproximada."
msn_011080_002,1,msn_011080_002_0060,"De todos modos, para evitar que los defensores de ARKS en entrenamiento tropiecen con situaciones que no pueden manejar, el poder de batalla restringe la entrada a áreas peligrosas en Halpha."
msn_011080_002,1,msn_011080_002_0070,monte Magnus es una de esas áreas.
msn_011080_002,1,msn_011080_002_0080,"Deberías poder ver el poder de batalla requerido ahora, así que prepárate.<br>y dispara por ello."
msn_011080_002,1,msn_011080_002_0090,Estaremos atentos a tu progreso. Buena suerte con tu preparación.
msn_011080_002,1,msn_011080_002_0101,Welcome to Central City.<br>Encantado de conocerte.
msn_011080_002,1,msn_011080_002_0102,Te estaré brindando mi apoyo de ahora en adelante como tu operador.
msn_011080_002,1,msn_011080_002_0201,"Si tiene alguna solicitud con respecto a las operaciones, o quiere que yo me encargue<br>cosas diferentes, no dude en preguntar."
msn_011080_002,1,msn_011080_002_0202,Espero poder apoyarlos a todos de una manera que les haga la vida más fácil.
