section,group,id,text
common,0,IncidentName,$(0)を撃退せよ！
common,0,TrialBeginMsg,$(0)を$(1)体撃退せよ！
common,0,TrialAbstract,突如現れた$(0)を撃退せよ！
common,1,IncidentName,$(0) Repulsion!
common,1,TrialBeginMsg,Engage any $(0) you find and repel $(1)!
common,1,TrialAbstract,Repel the unforeseen $(0) presence!
type1,0,NpcComOnPreBegin,新たな熱源反応が接近！<br>注意してください、来ます！
type1,0,NpcComOnBegin,あれはラッピー……でしょうか？<br>敵意は無さそうですが、混乱を防ぐため<br>各員は撃退にあたってください。
type1,0,NpcComOnSuccess,混乱を防ぐためとはいえ……<br>少しかわいそうな気がしますね。<br>各員の協力感謝します。
type1,1,NpcComOnPreBegin,"A new heat source is approaching! Stay alert,<br>here it comes!"
type1,1,NpcComOnBegin,"Are those...Rappies? They don't seem to<br>have any hostile intent, but in order to avoid a<br>panic you all operatives are requested to drive<br>them away!"
type1,1,NpcComOnSuccess,"I know we were trying to prevent a larger<br>panic, but I can't help feeling a little bad.<br>Nevertheless, your assistance is appreciated."
type2,0,NpcComOnPreBegin,こいつは新たな熱源反応だな。<br>油断するなよ、これはでかいぞ。
type2,0,NpcComOnBegin,また妙なやつが現れたが……<br>放っておくわけにもいかんな。<br>各員、撃退にあたれ！
type2,0,NpcComOnSuccess,帰っていったようだな。<br>これで懲りてくれればいいんだが……<br>なにはともあれ、協力感謝する。
type2,1,NpcComOnPreBegin,"New heat source. Watch out, it's a big one!"
type2,1,NpcComOnBegin,"Those weird little guys have appeared again...<br>We can't just leave them alone either. <br>All operatives, prepare to drive them back!"
type2,1,NpcComOnSuccess,"Looks like they've gone back home. Hopefully<br>they've learned their lesson now... At any<br>rate, your assistance is much appreciated."
type3,0,NpcComOnPreBegin,この熱源反応は異常ですよ！<br>ほんとうに気をつけてください！
type3,0,NpcComOnBegin,わわっ！　おっきいのが現れました！<br>かわいいですが、ここは危ないですし<br>退いてもらいましょうか。
type3,0,NpcComOnSuccess,ちょーっとかわいそうな気もしますが<br>お互いのためですしね……<br>みなさん、お疲れさまでしたー！
type3,1,NpcComOnPreBegin,"This heat source is off the charts! Be careful<br>out there, for real!"
type3,1,NpcComOnBegin,"Waaah! Now there's a big one! It may be cute,<br>but it's dangerous. Get it out of here!"
type3,1,NpcComOnSuccess,"I feel a little bad for the guy, but that was best<br>for all of us... Great work, everyone!"
type6,0,NpcComOnPreBegin,周囲への警戒を強めてください。<br>新たな反応が感知されています。
type6,0,NpcComOnBegin,巨大な反応の出現を確認。<br>敵対行動は見られませんが<br>混乱を防ぐため、撃退してください。
type6,0,NpcComOnSuccess,巨大反応の撤退を確認。<br>皆さんの適切な対処に感謝します。
type6,1,NpcComOnPreBegin,Watch your perimeter. We're getting some<br>readings.
type6,1,NpcComOnBegin,"Massive reading detected. Doesn't appear<br>hostile, but drive it away to avoid a panic."
type6,1,NpcComOnSuccess,Confirming withdrawal of that massive signal.<br>That was well handled.
type9,0,NpcComOnPreBegin,周辺、警戒してください！<br>不審な反応があります！
type9,0,NpcComOnBegin,うわあ……なんかすごいのが……<br>敵意は無さそうですが、危ないですし<br>撃退してしまいましょう！
type9,0,NpcComOnSuccess,何をしに来たのかは不明ですが……<br>任務外で会いたかったですね。<br>ともかく、お疲れさまでした！
type9,1,NpcComOnPreBegin,Stay on high alert! Suspicious readings<br>detected!
type9,1,NpcComOnBegin,"Whoa, something huge is coming... Doesn't<br>seem to have any hostile intent, but to avoid<br>a panic let's drive it away!"
type9,1,NpcComOnSuccess,"No clue what they came here to do... Would<br>have been nice to encounter them outside of<br>a mission. Anyway, great job!"
type9f,0,NpcComOnPreBegin,周辺、警戒してください！<br>不審な反応があります！
type9f,0,NpcComOnBegin,うわあ……なんかすごいのが……<br>敵意は無さそうですが、危ないですし<br>撃退してしまいましょう！
type9f,0,NpcComOnSuccess,何をしに来たのかは不明ですが……<br>任務外で会いたかったですね。<br>ともかく、お疲れさまでした！
type9f,1,NpcComOnPreBegin,Stay on high alert! Suspicious readings<br>detected!
type9f,1,NpcComOnBegin,"Whoa, something huge is coming... Doesn't<br>seem to have any hostile intent, but to avoid<br>panic let's drive it away!"
type9f,1,NpcComOnSuccess,"No clue what they came here to do...<br>Would have been nice to encounter them<br>outside of a mission. Anyway, great job!"
