section,group,id,text
common,0,IncidentName,白の民を助太刀せよ！
common,0,TrialBeginMsg,$(0)を倒せ！
common,0,TrialAbstract,$(0)を$(1)体倒せ！
common,1,IncidentName,Back up the Daybreakers!
common,1,TrialBeginMsg,Defeat the $(0)!
common,1,TrialAbstract,Take on any $(0) you find and defeat $(1)!
type1,0,NpcComOnBegin,エネミーが白の民の街を襲撃。<br>白の民の戦士が迎撃に出ています。<br>各員、白の民に協力してください。
type1,0,NpcComOnSuccess,敵性反応の消失を確認しました。<br>お疲れさまでした。
type1,0,NpcComOnFailureDead,白の民の戦士が、全員戦線を離脱。<br>一時退避するようです。<br>任務失敗、通常任務に戻ってください。
type1,0,NpcComOnFailureTimer,街の破壊状況は深刻……<br>エネミーも目標を達成し撤退を開始。<br>残念ながら、任務失敗です。
type1,1,NpcComOnBegin,"The Daybreaker city is under assault. Their<br>warriors are fending off enemy attacks, but<br>your assistance is needed."
type1,1,NpcComOnSuccess,Enemy presence eliminated! Job well done!
type1,1,NpcComOnFailureDead,"All Daybreakers have left the front lines...<br>Seems to be a temporary withdrawal.<br>Mission failed, resume regular duties."
type1,1,NpcComOnFailureTimer,The city's been severely damaged...<br>The enemy have achieved their goal and<br>are pulling out. Mission failed.
type2,0,NpcComOnBegin,白の民の街が襲われている。<br>白の民の戦士達と協力して<br>エネミーを撃退しろ。
type2,0,NpcComOnSuccess,敵性反応は完全に消失した。<br>よくやったな。
type2,0,NpcComOnFailureDead,白の民が全員撤退してしまったか……<br>仕方がない、今回の任務は失敗だ。<br>各員、通常任務に戻れ。
type2,0,NpcComOnFailureTimer,敵勢力は目的を達成し撤退をはじめた。<br>……残念だが、今回の任務は失敗だ。
type2,1,NpcComOnBegin,The Daybreaker city is under assault.<br>Join up with their warriors to take out<br>the enemy.
type2,1,NpcComOnSuccess,The enemy was fully destroyed.<br>Pretty impressive.
type2,1,NpcComOnFailureDead,"Seems all Daybreakers have retreated...<br>I hate to say it, but mission failed.<br>Resume regular operations."
type2,1,NpcComOnFailureTimer,"Enemy forces have achieved their goal and are<br>starting to pull out. Unfortunately, we couldn't<br>get it done this time."
type3,0,NpcComOnBegin,わわっ、白の民さんの街が襲われてる！<br>白の民の戦士さんたちと力を合わせて<br>敵さんをやっつけちゃってくださいー！
type3,0,NpcComOnSuccess,敵さん撃退完了！　お見事ですっ！<br>すっばらしい連携でしたね！<br>お疲れさまでしたっ！
type3,0,NpcComOnFailureDead,白の民の戦士さんたち、みんな撤退<br>しちゃいました……任務失敗です。<br>通常任務に戻ってください。
type3,0,NpcComOnFailureTimer,ううう……敵さん撤退しはじめました。<br>目的達成しちゃったみたいです。<br>任務、失敗です……
type3,1,NpcComOnBegin,"Whoa, the Daybreaker's city is under assault!<br>Team up with their warriors get rid of the<br>bad guys!"
type3,1,NpcComOnSuccess,Enemy presence destroyed! Very nice!<br>That was a killer team-up!<br>Sublime in every way!
type3,1,NpcComOnFailureDead,All Daybreakers have left the battlefield...<br>This mission is toast. Get back to normal<br>duties.
type3,1,NpcComOnFailureTimer,Oof...the enemy's pulling out. Seems they did<br>what they came to do. Mission failed...
type6,0,NpcComOnBegin,白の民の街に、敵性存在の襲撃。<br>白の民の戦士が出撃しています。<br>各員、白の民に協力し、敵の迎撃を。
type6,0,NpcComOnSuccess,敵性存在の反応、完全消失。<br>見事な対応でした。
type6,0,NpcComOnFailureDead,白の民の戦士、全員撤退しました。<br>街を一部放棄し、待避するようです。<br>任務失敗となります。
type6,0,NpcComOnFailureTimer,敵勢力、目標達成と同時に撤退を開始。<br>白の民の街、損害甚大。<br>……任務、失敗となります。
type6,1,NpcComOnBegin,"Hostiles are invading the Daybreaker's city.<br>Their warriors are mounting a defense, but<br>they'll need  your assistance at once."
type6,1,NpcComOnSuccess,Enemy presence eradicated.<br>You handled that brilliantly.
type6,1,NpcComOnFailureDead,"Daybreaker warriors have left the battlefield.<br>Part of the city's been destroyed, and they've<br>taken refuge. Mission failed."
type6,1,NpcComOnFailureTimer,Enemy forces have met their goal and are<br>pulling out. The Daybreaker city has been<br>severely damaged. Mission failed.
