section,group,id,text
TutorialText,0,Title,『エンドレスクエスト』について
TutorialText,0,text0001,『エンドレスクエスト』はランダムに<br>出現するミッションをクリアし、<c f4a142>制限時間内に<br>ハイスコアを目指すクエスト<c>です。<br>スコアは以下の方法で獲得できます。<br>・『ミッションオーダー』の成功<br>・エネミーの撃破<br><br>制限時間は以下の方法で<br>増やす事ができます。<br>・『ミッションオーダー』の成功<br>・『インターバルエリア』への到達
TutorialText,0,text0002,『ミッションオーダー』は各ミッションごとに<br>課され、成功すると<c f4a142>スコアの獲得や<br>制限時間を増やす<c>ことができます。<br><br>制限時間を増やす事でより奥地まで<br>進むことができ、ハイスコアを狙えます。<br><br>クエスト終了時の報酬も豪華になるので<br>確実に成功させましょう。
TutorialText,0,text0003,『インターバルエリア』はクエスト中に<br>存在する休憩ポイントです。<br>このエリアにプレイヤーが到達した時点で<br><c f4a142>時間の経過が停止し、<br>制限時間が一定量増加<c>します。<br><br>また、ハーフドールの使用回数が回復し<br>ショップでのアイテム購入も可能です。<br>次のミッションに向けてアイテムを<br>補充しましょう。
TutorialText,0,text0004,ます<c>ので<br>協力して高いスコアの獲得を目指して下さい。<br><br>また、エンドレスクエストのハイスコアは<br>クエスト・難度・条件別に保存され<br>クエストカウンターから確認できます。
TutorialText,1,Title,Misiones sin fin
TutorialText,1,text0001,"En estas misiones, tu objetivo es completar misiones que aparecen aleatoriamente y<br><c f4a142> acumula una puntuación alta dentro del límite de tiempo. <c> Puedes ganar puntaje<br>de las siguientes maneras:<br>Completa con éxito las órdenes de misión.<br>Destruir enemigos<br><br>Puede ampliar su límite de tiempo de las siguientes maneras:<br>Completa con éxito las órdenes de misión.<br>Llegar a una zona de intervalo"
TutorialText,1,text0002,"Las órdenes de misión se asignan con cada misión. La finalización exitosa<br><c f4a142>gana puntos y extiende tu límite de tiempo.<c> Cuanto más extiendes<br>Cuanto mayor sea el límite de tiempo, más lejos podrás aventurarte y más puntos podrás ganar.<br>Cuanto mayor sea tu puntuación, mejores serán tus recompensas."
TutorialText,1,text0003,"La Zona de Intervalo es una parada de descanso a mitad de la misión. <c f4a142>El paso del tiempo<br>se detiene cuando los jugadores llegan a esta área,<c> y el límite de tiempo también se extiende<br>por una cierta cantidad. Los usos de Half Scape Doll también se reponen y los jugadores<br>Puedes comprar artículos en las tiendas. Abastecerse de artículos para su próxima misión."
TutorialText,1,text0004,"Recompensas y puntuación<br><br>Recibirás todas las entregas enemigas cuando se complete la misión.<br><br><yellow>Las puntuaciones más altas proporcionan una mayor probabilidad de obtener objetos raros,<c> así que trabajen juntos<br>para acumular esos puntos. Las puntuaciones altas en Endless Quests se guardan y enumeran por<br>Dificultad y condiciones. Puedes consultarlos en el mostrador de misiones."
