section,group,id,text
un_065180,0,un_065180_0010,こ、今後のために<br>聞かせてもらえると、嬉しい……
un_065180,0,un_065180_0020,って、言われてもなぁ……<br>ちょっとウルク。イオをたきつけたの<br>あなたでしょ？
un_065180,0,un_065180_0030,人聞き悪いなー。<br>イオちゃんも興味があるだけだってば。<br>エコーさんの新婚生活に……ね！
un_065180,0,un_065180_0040,カフェで今後の話を、とか言って<br>それが目的だったのね……
un_065180,0,un_065180_0050,あ、<%me>！<br>きみからも、二人に言ってあげてよ。<br>そんな話してる場合じゃない、って！
un_065180,0,un_065180_0060,そんな話してる場合じゃない
un_065180,0,un_065180_0070,新婚生活、聞かせて
un_065180,0,un_065180_0080,おや、素直だねー。<br>総司令なのにサボってるとか思ってる？<br>心外だなあ。
un_065180,0,un_065180_0090,まさかの裏切り……！？<br>きみまで、そっちに回らないでよ！
un_065180,0,un_065180_0100,そもそもエコーさん、勘違いしてるよ。<br>これも全部、未来のためなんだから。
un_065180,0,un_065180_0110,あ、あたしとゼノの新婚生活が<br>どう、未来のためになるってのよ……<br>だいたい、総司令の仕事はいいの？
un_065180,0,un_065180_0120,総司令としてやるべきことなんて<br>ぜーんぶ、終わっちゃってるのよねー。<br>あとは、最終決戦を待つだけ。
un_065180,0,un_065180_0130,今さら、ジタバタしても仕方ない。<br>それより私たちには、今だからこそ<br>考えるべきことがあるの。
un_065180,0,un_065180_0140,今だからこそ……
un_065180,0,un_065180_0150,考えるべきこと？
un_065180,0,un_065180_0160,そう、それは……未来のこと。<br>私たちが、すべて終わらせたあとの<br>平和になった時のことを考えなきゃ。
un_065180,0,un_065180_0170,敵を倒すために戦うんじゃない。<br>平和な世界を手に入れるために戦うの。
un_065180,0,un_065180_0180,その目的を忘れないため……<br>平和になったあとのことを考える。<br>それって、大事だと思わない？
un_065180,0,un_065180_0190,た、たしかに……<br>ダーカーを倒すために戦ってる、って<br>思いがちだけど……
un_065180,0,un_065180_0200,言われてみれば、そうだよな。<br>平和な未来のために、戦ってるんだ。
un_065180,0,un_065180_0210,だからね！<br>結婚という明るい未来を勝ち取った<br>エコーさんの新婚生活が聞きたいの！
un_065180,0,un_065180_0220,エコーさん、頼むよっ！<br>おれ、そういうの全然わからなくて<br>未来が想像できないから……
un_065180,0,un_065180_0230,……はぁ。わかったわよ。<br>期待に応えられるとは思えないけど。<br>で、何を聞きたいの？
un_065180,0,un_065180_0240,お、おれから質問いいかな？<br>前からすごく気になってたんだけど……<br>その、えっと、す、す……
un_065180,0,un_065180_0250,す、好きな相手が<br>自分のことも好きなのって<br>どんな感じなんだ……！？
un_065180,0,un_065180_0260,うう、まぶしい……<br>ええと、両想いの気持ちってことよね。<br>なんて言うか、言葉だと難しいけど……
un_065180,0,un_065180_0270,包み込まれるようで安心できると言うか<br>この人は信じられるんだって言うか……
un_065180,0,un_065180_0280,結婚するまではね。すごく不安だった。<br>ゼノが本当に帰ってきてくれるのかとか<br>失踪した時も、信じたいけど不安で……
un_065180,0,un_065180_0290,でも、結婚してからは……<br>ゼノを信じていいんだ、って思えて。<br>不安が一気に消えたみたいだった。
un_065180,0,un_065180_0300,イオちゃん、よく聞いておいてね。<br>これが、ノロケってやつだよ。
un_065180,0,un_065180_0310,自分たちが聞いたんでしょうが！<br>ひどくない、<%me>？
un_065180,0,un_065180_0320,パフェより甘い話だった
un_065180,0,un_065180_0330,ただのノロケだよね
un_065180,0,un_065180_0340,聞かれたから答えたのにー！<br>言わなきゃよかったぁー！
un_065180,0,un_065180_0350,ウソっ！？　そんなつもりは……<br>なんか、ごめん……
un_065180,0,un_065180_0360,さて、じゃ最終決戦前に<br>テオの顔でも見に行くかー。<br>それじゃ！
un_065180,0,un_065180_0370,そうね……あたしも<br>ゼノの声が聞きたいな……<br>じゃあね、二人とも！
un_065180,0,un_065180_0380,うう……<br>あ、あ、あのさ……センパイ。
un_065180,0,un_065180_0390,時間があったらさ……<br>おれと、もう少しだけでいいから<br>お茶……し
un_065180,1,un_065180_0010,"Si me das algunas indicaciones para el futuro, estare muy agradecido..."
un_065180,1,un_065180_0020,"¿Eso es un desafio? ¡Hey, Ulku! <br>¿Eres tu quien incito a Io?"
un_065180,1,un_065180_0030,"Tengo una reputacion que precede. Solo digo que Io esta interesado... en tu vida como recien casado, Echo."
un_065180,1,un_065180_0040,Queria hablar contigo sobre el futuro cuando estabamos en el cafe...
un_065180,1,un_065180_0050,¡Hey! Puedes decirles a estos dos que no es el momento ni el lugar para tener esta conversacion!
un_065180,1,un_065180_0060,"Este no es el momento ni el lugar, muchachos."
un_065180,1,un_065180_0070,Cuentanos sobre la vida de los recien casados.
un_065180,1,un_065180_0080,Eres mas accesible de lo normal hoy <br>. ¿Pensabas que el almirante se esta pasando todo el tiempo? <br> ¡Es inconcebible!
un_065180,1,un_065180_0090,"Ouch, me han pinchado por la espalda... <br>No tu tambien"
un_065180,1,un_065180_0100,"Echo, you've got it all wrong.<br>This is all for the benefit of the future."
un_065180,1,un_065180_0110,¿Que tiene que ver mi matrimonio con Zeno con el futuro? ¿Estas seguro de que no tienes algo mas importante que hacer como almirante?
un_065180,1,un_065180_0120,Creo que he terminado todo lo que necesitaba hacer en mi capacidad como almirante. Solo queda esperar a la batalla final.
un_065180,1,un_065180_0130,No hay sentido en seguir discutiendo ahora. Lo unico que importa es considerar las cosas importantes
un_065180,1,un_065180_0140,Ahora mismo tenemos...
un_065180,1,un_065180_0150,¿Cosas a considerar?
un_065180,1,un_065180_0160,Si. Estoy hablando sobre el futuro.<br>Tenemos que pensar en lo que sucede cuando<br>todo esta finalmente terminado y tenemos la paz.
un_065180,1,un_065180_0170,"No vamos a luchar contra un enemigo poderoso.<br>A partir de ahora, lucharemos para mantener un<br>mundo pacifico."
un_065180,1,un_065180_0180,"Asi que no olvidemos este objetivo tan importante,<br>debemos considerar lo que sucede despues de la paz.<br>¿No crees que es importante?"
un_065180,1,un_065180_0190,"Bueno... Me estoy acostumbrando a pensar en<br>""luchar"" como una manera de librarnos de los Falspawn..."
un_065180,1,un_065180_0200,Entiendo lo que dices. Tenemos que luchar por un futuro pacifico.
un_065180,1,un_065180_0210,¡Por eso! Quiero escuchar sobre la emocionante vida conyugal de Echo despues del matrimonio.
un_065180,1,un_065180_0220,"Eh, Echo, ¿me puedo contar? Ni siquiera se que es lo que implica<br>un matrimonio, y no tengo idea de lo que se siente..."
un_065180,1,un_065180_0230,"...suspiro. Bueno, Io, esto es lo que es un Noroke."
un_065180,1,un_065180_0240,¡Eso es algo que nosotros mismos hemos preguntado! ¿Puedes creer esto?
un_065180,1,un_065180_0250,Era mas dulce que un caramelo.
un_065180,1,un_065180_0260,Fue bastante blando.
un_065180,1,un_065180_0270,"Ugh, ¡esto es como tratar a alguien de una forma como yo soy<br>honesta! Deberia haber callado..."
un_065180,1,un_065180_0280,"ld incluso hacerle volver.<br>Cuando se desaparecio, intente mantener la esperanza... "
un_065180,1,un_065180_0290,"Pero cuando nos casamos, comence a darme cuenta<br>que tengo que confiar en Zeno, y mi nerviosismo<br>se borro completamente."
un_065180,1,un_065180_0300,"Escucha atentamente ahora, Io. Estas empezando a entrar en una zona bastante sentimental."
un_065180,1,un_065180_0310,¡Eso es algo que nosotros mismos hemos preguntado! ¿Puedes creer esto?
un_065180,1,un_065180_0320,Fue bastante blando.
un_065180,1,un_065180_0330,"Ugh, ¡esto es como tratar a alguien de una forma como yo soy||TAG_0||honesta! Deberia haber callado..."
un_065180,1,un_065180_0340,¡Eso es algo que nosotros mismos hemos preguntado!
un_065180,1,un_065180_0350,¡Eres serio!? No queria...<br>Lo siento...
un_065180,1,un_065180_0360,"Bueno, deberia ir a visitar a Theo<br>antes de la batalla final. Hasta luego!"
un_065180,1,un_065180_0370,"Yeah, I want to go see how Zeno is doing...<br>See you two later!"
un_065180,1,un_065180_0380,Um... H-H-Oye... jefe.
un_065180,1,un_065180_0390,Si tienes un poco de tiempo... Puedo hablar contigo<br>un rato sobre mas te... o algo?
