section,group,id,text
,0,76530101,ハルファでの戦いには<br>仲間の存在が大切ですわ。
,0,76530102,どうやって仲間を増やしたり、協力していくか。<br>その方法を教えてあげますわ。
,0,76530102_1,“パーティー”について
,0,76530102_2,“ブリッジシステム”について
,0,76530102_3,“リバーサーサイン”について
,0,76530102_4,“フレンドリスト”について
,0,76530102_5,“アークスサーチ”について
,0,76530102_6,聞きたいことはない
,1,76530101,Tener camaradas ayuda mucho cuando luchas aquí en Halpha.
,1,76530102,Te diré cómo conseguir más amigos y cómo trabajar con ellos.
,1,76530102_1,Háblame de fiestas.
,1,76530102_2,Cuéntame sobre el sistema Bridge.
,1,76530102_3,Háblame de Reversasigne.
,1,76530102_4,Cuéntame sobre la lista de amigos.
,1,76530102_5,Cuéntame sobre la búsqueda de ARKS.
,1,76530102_6,"Estoy bien, gracias."
