section,group,id,text
msc_027140,0,msc_027140_0010,このなかに、<br>ゼフェットの……えーと、身体が？
msc_027140,0,msc_027140_0020,……いや。
msc_027140,0,msc_027140_0030,このなかにあるのは、<br>4thクローンの素体。
msc_027140,0,msc_027140_0040,戦闘データの記録が終わり、<br>“精神”の定着を行っていない状態にある。
msc_027140,0,msc_027140_0050,なにを言っているの？
msc_027140,0,msc_027140_0060,まさか、また私たちを、<br>なにかの実験の一部に……？
msc_027140,0,msc_027140_0070,……そうではない。
msc_027140,0,msc_027140_0080,私の身体は……先の戦いで、<br>完全に失われた……。
msc_027140,0,msc_027140_0090,……え？
msc_027140,0,msc_027140_0100,お前たちとの戦いのあとに、<br>襲来したスターレスの尖兵。
msc_027140,0,msc_027140_0110,その駆逐には成功したが、<br>私のボディも修復不能なほどの損傷を受けた。
msc_027140,0,msc_027140_0120,そこで、私は力を使い、<br>精神をファリアの身体に移したのだ。
msc_027140,0,msc_027140_0130,じゃあ、今までずっと、<br>あなたはファリアのなかにいたってこと？
msc_027140,0,msc_027140_0140,そうだ。
msc_027140,0,msc_027140_0150,………。
msc_027140,0,msc_027140_0160,最初から、<br>ここに私たちを導くのが目的だったのね？
msc_027140,0,msc_027140_0170,ああ。
msc_027140,0,msc_027140_0180,今度の狙いはなに？
msc_027140,0,msc_027140_0190,私の精神を、<br>4thクローンに移す。
msc_027140,0,msc_027140_0200,それで、リサージェントアークスの総督に戻ると？
msc_027140,0,msc_027140_0210,スターレスとの戦いに、<br>終止符を打つために戦うのだ。
msc_027140,0,msc_027140_0220,4thクローンは、<br>909、お前の力をフィードバックした存在だ。
msc_027140,0,msc_027140_0230,そこには、これまでのあらゆる戦いの記録も、<br>収められている。
msc_027140,0,msc_027140_0240,最強のアークスを超えるアークスが誕生するのだ。
msc_027140,0,msc_027140_0250,……それは、確かなの？
msc_027140,0,msc_027140_0260,……やってみなければわからない。
msc_027140,0,msc_027140_0270,だったらもっと、データをそろえて……。
msc_027140,0,msc_027140_0280,時間がないのだ！
msc_027140,0,msc_027140_0290,私が、この身体のなかにいられる時間は、<br>そう長くはない。
msc_027140,0,msc_027140_0300,精神を定着させる<br>依り代が必要だ。
msc_027140,0,msc_027140_0310,……そんな。
msc_027140,0,msc_027140_0320,ファリア、手順は理解しているな？
msc_027140,0,msc_027140_0330,はい。
msc_027140,0,msc_027140_0340,では、始めるぞ。
msc_027140,0,msc_027140_0350,こんな力が……存在するなんて。
msc_027140,0,msc_027140_0360,よし……いいぞ……。
msc_027140,0,msc_027140_0370,スターレス!?
msc_027140,0,msc_027140_0380,ここまで来るとは……。
msc_027140,0,msc_027140_0390,時間を稼ぐよ。
msc_027140,0,msc_027140_0400,これまでの責任はとってもらう。
msc_027140,0,msc_027140_0410,……そうか。
msc_027140,0,msc_027140_0420,……ああ。<br>もちろんだ。
msc_027140,0,msc_027140_0430,３人だけで、戦うのは久しぶりだね。
msc_027140,0,msc_027140_0440,ええ、そ
msc_027140,1,msc_027140_0010,¿Es aquí... donde encontraremos tu... um... cuerpo?
msc_027140,1,msc_027140_0020,No.
msc_027140,1,msc_027140_0030,Dentro de aquí está el cuarto anfitrión clon.
msc_027140,1,msc_027140_0040,"Hemos subido los datos de batalla requeridos, pero su... ""alma"" aún no ha sido implantada."
msc_027140,1,msc_027140_0050,Esto no puede ser real.
msc_027140,1,msc_027140_0060,¿Nos estás sometiendo a otro de tus experimentos?
msc_027140,1,msc_027140_0070,"No, no lo soy."
msc_027140,1,msc_027140_0080,La verdad es... perdí mi cuerpo en mi última pelea...
msc_027140,1,msc_027140_0090,¿Eh?
msc_027140,1,msc_027140_0100,La vanguardia Starless que atacó después de que todos peleáramos...
msc_027140,1,msc_027140_0110,"Logré derrotarlo, pero mi cuerpo sufrió daños irreparables en el proceso."
msc_027140,1,msc_027140_0120,Entonces… usé mi habilidad para transferir mi conciencia a Pharia.
msc_027140,1,msc_027140_0130,Entonces… ¿Estás diciendo que has estado dentro de la mente de Pharia desde entonces?
msc_027140,1,msc_027140_0140,Correcto.
msc_027140,1,msc_027140_0150,…
msc_027140,1,msc_027140_0160,Y todo este tiempo has estado tramando cómo llevarnos hasta aquí.
msc_027140,1,msc_027140_0170,Sí.
msc_027140,1,msc_027140_0180,¡¿Qué es lo que quieres?!
msc_027140,1,msc_027140_0190,Para transferir mi alma a este clon.
msc_027140,1,msc_027140_0200,"Y volver a liderar Resurgent ARKS, ¿supongo?"
msc_027140,1,msc_027140_0210,Quiero poner fin a la guerra contra los Starless.
msc_027140,1,msc_027140_0220,Este cuarto clon incorpora lecciones aprendidas del desempeño de campo del 909.
