section,group,id,text
pr_039010,0,pr_039010_0010,あーあー……アークスのみなさーん<br>聞こえてるかしら？
pr_039010,0,pr_039010_0020,現在の状況を、このアタシ<br>アウロラが説明してあげるから<br>ありがたーく聞き……ってあいたっ！
pr_039010,0,pr_039010_0030,無駄に偉そうにしてんじゃない。
pr_039010,0,pr_039010_0040,……失礼。説明の続きよ。<br>リリーパに封印されていた【若人】の<br>本体が、今にも復活しようとしている。
pr_039010,0,pr_039010_0050,復活地点は、リリーパの地下。<br>奥底でじーっとしてるわ。
pr_039010,0,pr_039010_0060,現在はまだ激しい動きを見せてない。<br>けど、復活は間近よ。間違いない。
pr_039010,0,pr_039010_0070,元【若人】の二人が言うんだからね。<br>信用してくれちゃっていいわよー。
pr_039010,0,pr_039010_0080,本来はあたし達がなんとかするべき事。<br>だけど、手も、力も、数も……<br>何もかもが、足りない。
pr_039010,0,pr_039010_0090,だからお願い。アークスの……<br>皆の力を、貸してほしい。<br>【若人】の復活を食い止めるために。
pr_039010,0,pr_039010_0100,もっとも、アークスの目的は<br>ダーカーの殲滅だから、放っといても<br>戦ってくれるとは思うけど、さ。
pr_039010,0,pr_039010_0110,……アタシからも、お願い。<br>アイツを……【若人】を、倒
pr_039010,1,pr_039010_0010,"Hola ARKS! Test, uno dos. ¿Pueden oirme?"
pr_039010,1,pr_039010_0020,"Estoy explicando la situacion actual, asi que sientense comodos y no interrumpan.<br>El verdadero cuerpo de [Apprentice], que estaba sellado en Lillipa..."
pr_039010,1,pr_039010_0030,Ahora no es el momento de actuar con todo su poder.
pr_039010,1,pr_039010_0040,Esta tratando de recuperarse en los profundos subsuelos de Lillipa.
pr_039010,1,pr_039010_0050,"No ha hecho ningun movimiento significativo todavia, pero espera a que se recupere.<br>No es cuestion de si, sino cuando."
pr_039010,1,pr_039010_0060,Ambos antiguos anfitriones de [Apprentice] pueden atestiguar esto.<br>Pueden confiar en nosotros.
pr_039010,1,pr_039010_0070,"Parece que nos faltan fuerzas, habilidades y recursos para detenerlo.<br>No hay mucho mas por hacer."
pr_039010,1,pr_039010_0080,"Por lo tanto, les pido a todos los ARKS...<br>Lenten su poder. Ayudenos a detener la revivificacion de [Apprentice]."
pr_039010,1,pr_039010_0090,"Aunque, en ultima instancia, ARKS esta alli para eliminar los falsopas."
pr_039010,1,pr_039010_0100,"Entonces, les pido por favor. Los operativos ARKS...<br>Presten su poder. Ayudenos a derrotar a [Apprentice]."
pr_039010,1,pr_039010_0110,Considero esto como mi propia y humilde peticion. Por favor... Derrotenlo.<br>Deroten a [Apprentice].
