section,group,id,text
ssq_015061_005,0,name_7740,トラクスタン
ssq_015061_005,0,ssq_015061_005_0101,クヴァリスの遊撃隊への参加が認められたようだね。<br>大したものだ。
ssq_015061_005,0,ssq_015061_005_0102,キミになら、あのエネミーについて、<br>話してもいいかもしれないな……。
ssq_015061_005,0,ssq_015061_005_0103,しかしその前に、<br>まずはキミの実力を測りたい。
ssq_015061_005,0,ssq_015061_005_0104,僕の隣にいるレソが、<br>この隊の物資管理を担当している。
ssq_015061_005,0,ssq_015061_005_0105,彼女と、物品の交換契約をしてみてほしい。<br>それが強さの証明となるだ
ssq_015061_005,1,name_7740,Truxtun
ssq_015061_005,1,ssq_015061_005_0101,"If you've been accepted into the Kvaris Partisan Squad,<br>then you must be the real deal."
ssq_015061_005,1,ssq_015061_005_0102,"In that case, I can talk to you about those enemies..."
ssq_015061_005,1,ssq_015061_005_0103,"But before that, I'd like to assess your abilities."
ssq_015061_005,1,ssq_015061_005_0104,Reso here next to me is in charge of the supplies<br>here at this camp.
ssq_015061_005,1,ssq_015061_005_0105,Go make an equipment exchange agreement with her.<br>That should prove your strength.
