section,group,id,text
st_058025,0,st_058025_0010,……エフィメラがあっちの世界で<br>出てきたのって数十年前なんだよね。
st_058025,0,st_058025_0020,ということは、そのぐらい前から<br>【深遠なる闇】が入ってたって<br>ことになるんだよね。
st_058025,0,st_058025_0030,【深遠なる闇】と<%me>は<br>ほぼ同時にオメガに行ったはずなのに<br>どうしてそんなズレてるんだろう？
st_058025,0,st_058025_0040,こほん。<br>せっかくなので説明しましょう。
st_058025,0,st_058025_0050,……前にも言ったかもだけど<br>本来、アカシックレコードの中は<br>めまぐるしく時が巡っている。
st_058025,0,st_058025_0060,記録の整理に合わせて<br>さまざまな世界がぐるぐるーって<br>とんでもない速度で巡ってる。
st_058025,0,st_058025_0070,そこに、【深遠なる闇】って<br>不純物が入って、その一瞬後に<br><%me>が入った。
st_058025,0,st_058025_0080,<%me>が入った瞬間<br>わたしが気付いて<br>時間を同期させたんだ。
st_058025,0,st_058025_0090,時間を……同期……？
st_058025,0,st_058025_0100,あー、えーっと……<br>まあなんか、うまくやったって<br>思ってくれればいいかな。
st_058025,0,st_058025_0110,ただ、その一瞬。<br>ほんのちょっとの差が<br>向こうの世界では数十年だった。
st_058025,0,st_058025_0120,そのぐらい、めまぐるしく時が<br>巡り続けてる場所なんだ、オメガは。<br>いや、アカシックレコードの中は。
st_058025,0,st_058025_0130,時が巡る、って言い方もおかしいか。<br>記録がぐるぐる巡ってる、かな。
st_058025,0,st_058025_0140,じゃあ、あの時にアルマさんが<br>時間を止めなかったら……？
st_058025,0,st_058025_0150,んー、もしかすると、一瞬で<br>ブラックホールができあがって<br>全部を飲み込んでたのかもね。
st_058025,0,st_058025_0160,はからずもわたし<br>ものすごいファインプレイを<br>したのかもしれないなあ。
st_058025,1,st_058025_0010,¿Ephemera salio por primera vez en ese mundo hace unos decenios?
st_058025,1,st_058025_0020,Entonces eso significa que el Profundo Oscuridad estuvo ahi antes de eso.
st_058025,1,st_058025_0030,El Profundo Oscurum fue a Omega al mismo tiempo que nosotros. ¿Por que entonces hay una brecha?
st_058025,1,st_058025_0040,Ejem. Permitame explicarle.
st_058025,1,st_058025_0050,"Como mencione antes, el flujo del tiempo dentro del Akashic Records es bastante caotico."
st_058025,1,st_058025_0060,"Al organizar los registros dentro, las diferentes realidades se mezclan a velocidades increibles."
st_058025,1,st_058025_0070,"El Profundo Oscurum entro en su momento, seguido por un momento despues de ti."
st_058025,1,st_058025_0080,"Una vez que te note, sincronice las corrientes de tiempo."
st_058025,1,st_058025_0090,¿Y ahora que hiciste?
st_058025,1,st_058025_0100,"Basicamente, arregle las cosas muy bien."
st_058025,1,st_058025_0110,"Sin embargo, en ese instante, una pequeйa diferencia en el flujo del tiempo causo varias decadas para pasar en la otra realidad."
st_058025,1,st_058025_0120,"Eso es como el flujo del tiempo en Omega. O sea, en los Akashic Records."
st_058025,1,st_058025_0130,"El tiempo se mueve ahi, lo que suena raro, pero eso es lo que ocurre cuando registros estan siendo mezclados todo el tiempo."
st_058025,1,st_058025_0140,¿Y si Almas no hubiera detenido el tiempo entonces?
st_058025,1,st_058025_0150,Hmm. El agujero negro probablemente habria engullido todo en un instante.
st_058025,1,st_058025_0160,"Didn't mean to knock that one way out of the park, but hey, I<br>guess I did!"
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
