section,group,id,text
TutorialText,0,title00,『チャレンジクエスト』について
TutorialText,0,title01,『エクストラチャージボーナス』について
TutorialText,0,text01,件でクエストクリアとなります。<br><yellow>・指定のミッションをクリアする<br>・ＶＲエネルギーが無くなる<c><br><br>ＶＲエネルギーは参加者共有です。<br>緑色のバーで残量が表示されています。
TutorialText,0,text02,『チャレンジャー』<br>について説明します。<br><br>チャレンジクエストではクラスが<br>「チャレンジャー」に変更されます。<br><br>チャレンジャーには以下の特徴があります。<br><yellow>・全ての武器、防具を装備できる<br>・ＰＡ、テクニック、スキルを無条件で<br>　ディスクから習得・装備する事ができる<c><br><br>スタンスは2つまで同時使用可能です。<br>※一部同時使用不可なスタンスも存在します
TutorialText,0,text03,>
TutorialText,0,text04,た場合<br>消費したＶＲエネルギーは回復しない<c>ので<br>積極的に仲間を復活させましょう。<br><br>また、<yellow>チャレンジドール<c>を所持している場合<br>戦闘不能者は自動的に復活するため<br>ＶＲエネルギーを消費しません。
TutorialText,0,text05,。<c>
TutorialText,0,text06,充したり、武器やディスクの交換を<br>行いましょう。<br><br>交換アイテムが足りない場合は<br>パーティーメンバーに貰うのも有効な手段です。
TutorialText,0,text07,『チャレンジマイル』について説明します。<br><br>チャレンジクエストをクリアすると<br>チャレンジマイルを取得する事が出来ます。<br>チャレンジマイルはショップエリアで<br>各種アイテムに交換が可能です。<br><br>マイルは主に以下の方法で獲得できます。<br><yellow>・ミッションをクリアする<br>・マイルクリスタルの入手<c><br>ミッションのクリア率はエリアの<br>先頭プレイヤーの位置で決まります。<br>また、マイルクリスタルの獲得量は<br>参加者全員で共有されます。
TutorialText,0,text08,<br>これは自分の最高到達記録を示すものとなり<br>記録を更新すると位置が更新されます。<br><br>自分の記録は青色。<br>他のプレイヤーは銀色で表示されています。
TutorialText,0,text09,チャレンジクエストでは<br>エネミーが落としたアイテムや<br>コンテナから出現したアイテムは<br>自分だけが拾えるアイテムとなります。<br><br><yellow>他のプレイヤーは拾うことが出来ませんので<br>出現したアイテムは積極的に拾いましょう。<c>
TutorialText,0,text10,『エクストラチャージボーナス』について <br>説明します。 <br> <br>VRエネルギーを100%以上回復した場合、 <br>回復量に応じてエクストラチャージボーナスを<br>得ることが出来ます。<br><br>エクストラチャージボーナスは <br>2.5%毎に1チャレンジマイルが付与されますが、  <br><red>VRエネルギーが100%を超えて回復することは<br>ありません。<c>
TutorialText,1,title00,Misiones de desafío
TutorialText,1,title01,Bonos de cargo extra
TutorialText,1,text01,"Durante una mision de desafio, trata de completar tu mision antes de que la energia VR se agote. Para completar la mision, necesitas: - Completar la mision asignada - Agotar la energia VR. La energia VR es compartida por todos los participantes en la mision y esta representada por un barro verde que muestra el nivel restante de energia."
TutorialText,1,text02,"Las caracteristicas del 'Challenger' son: - Puedes equipar cualquier arma y armadura - Podras aprender y equipar habilidades, tecnicas y discos sin restricciones - Las dos posturas a la vez se pueden usar simultaneamente. Sin embargo, hay algunas posturas que no se pueden utilizar al mismo tiempo."
TutorialText,1,text03,l participantes en la misión.<br><red> Algunas cápsulas VR no se mostrarán en el mapa de radar. <c>
TutorialText,1,text04,.
TutorialText,1,text05,torado<c>.
TutorialText,1,text06,"You can trade for useful items while in an Interval Zone at the Swap Shop.<br><br>Stock up on Recovery Items, weapons, Discs, and more to prepare for<br>upcoming missions.<br><br>Obtaining items to exchange from party members when you don't have enough<br>is an effective strategy."
TutorialText,1,text07,You can earn Challenge Miles by completing Challenge Quests.<br>You can exchange Challenge Miles in the Shopping Plaza for various items.<br><br>Miles can primarily be obtained through the following methods:<br><yellow>- Completing missions<br>- Obtaining Milestones<c><br>Mission completion rate is determined by the top player in the area.<br>Milestones acquired are shared among all participants.
TutorialText,1,text08,"Completing a Challenge Quest will place a Personal Best Tag in future<br>Challenge Quests.<br><br>As the name indicates, this tag denotes your personal best performance<br>in the Challenge Quest. Beating your personal best will update the tag's location.<br><br>Your own personal best is displayed in blue, and those of your fellow players<br>are displayed in silver."
TutorialText,1,text09,"br><br><yellow> Dado que solo están disponibles para ti y no para otros jugadores,<br>¡asegúrate de saquear <c>!"
TutorialText,1,text10,"If you recover VR Energy totaling above 100%, you will receive<br>an Extra Charge Bonus commensurate with the amount recovered.<br><br>Every 2.5% of Extra Charge Bonus will award you with one Challenge Mile.<br>However,<red>be aware that your VR Energy cannot exceed 100%.<c>"
