section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
ra_034030,0,ra_034030_0001,A.P.239/2/25
ra_034030,0,ra_034030_0010,……<%me>。<br>きみの言いたいことはわかってるよ。
ra_034030,0,ra_034030_0020,もう一度、十年前に行ってみて<br>何があったのか見てくればいいって<br>そう思ってるんだろう？
ra_034030,0,ra_034030_0030,ぼくもそれを考えたんだけど……<br>ちょっと無理っぽいんだよね。
ra_034030,0,ra_034030_0040,二代目が消えた後のあの時代は<br>介入が拒絶されている。<br>おそらくは、シオンの仕業だ。
ra_034030,0,ra_034030_0050,忘れさせたけど、変えさせないって<br>ほんと、わがままな話さ。<br>やることが極端だよ、まったく。
ra_034030,0,ra_034030_0060,とはいえ、記憶を残してる人も<br>いるみたいだし、話を聞いていけば<br>何かつかめるかもしれないね。
ra_034030,0,al_020050_0010,二代目ちゃんの存在を隠し通そうとした<br>理由は、こういうことだったんだね。
ra_034030,0,al_020050_0020,新たなる【深遠なる闇】になりかけた。<br>シオン自身の、作り出したものが。<br>……二代目ちゃんが。
ra_034030,0,al_020050_0030,自身が与えた知識によって<br>命すら弄ぶようになったフォトナー。<br>それが残した負の遺産、【深遠なる闇】。
ra_034030,0,al_020050_0040,その不始末を打ち消すために<br>シオンが生みだした二代目ちゃん……<br>それも【深遠なる闇】になりかけた。
ra_034030,0,al_020050_0050,なら、二代目ちゃんを作る前から<br>やり直せば良い……けど、シオンは<br>それが出来なかった。
ra_034030,0,al_020050_0060,それこそ、二代目ちゃんを……<br>命を弄ぶってことだから。
ra_034030,0,al_020050_0070,……シオンの謝罪や後悔はさ<br>フォトナーに知識を与えたことに<br>対してのものだと思ってた。
ra_034030,0,al_020050_0080,でも、違うんだね。<br>あれは二代目ちゃんへ謝ってたんだ。<br>自身の行いを、悔いて。
ra_034030,0,al_020050_0090,二代目ちゃんは、いわばシオンの<br>娘のような存在だもんね。<br>……辛かったと思うよ。
ra_034030,0,al_020050_0100,だから、何としてでも<br>二代目ちゃんを救いたくて<br>……あなたを、頼った。
ra_034030,0,al_020050_0110,過去に戻って、色々わかったよ。<br>いや、正しくはまだわからないことも<br>多かったりするけどさ。
ra_034030,0,al_020050_0120,もう過去に戻ってみることは出来ない。<br>だからここからは、記憶の断片を<br>集めて重ねて、真実を探そうかな。
ra_034030,1,ra_034030_0001,A.P.239/2/25
ra_034030,1,ra_034030_0010,"Escucha, sé lo que debes estar pensando."
ra_034030,1,ra_034030_0020,"Quieres volver a hace diez años y<br>ver qué pasó, ¿verdad?"
ra_034030,1,ra_034030_0030,"Tuve la misma idea, pero parece que eso<br>podría estar fuera de discusión."
ra_034030,1,ra_034030_0040,"Se nos está bloqueando por completo la posibilidad de que<br>intervengamos en el período posterior a la desaparición del<br>segundo. Xion lo está haciendo, estoy seguro."
ra_034030,1,ra_034030_0050,"Xion nos hizo olvidar, pero no nos deja regresar<br>y cambiar nada. Bastante irrazonable,<br>pero ella siempre tendía hacia el extremo."
ra_034030,1,ra_034030_0060,"Dicho esto, parece que hay quienes<br>conservaron algunos de sus recuerdos. Deberíamos<br>hablar con ellos para intentar resolver las cosas."
ra_034030,1,al_020050_0010,Entonces ESO es el motivo por el que Xion intentaba<br>ocultar al Segundo.
ra_034030,1,al_020050_0020,"Si creaste un ser que casi se convierte<br>en la nueva Oscuridad Profunda, querrás<br>mantener eso en secreto también."
ra_034030,1,al_020050_0030,"Con el conocimiento que Xion les otorgó, los<br>Photoners pasaron a jugar con la vida misma. cuyo legado<br>fue la Oscuridad Profunda."
ra_034030,1,al_020050_0040,"Para negar este fracaso, Xion creó los Second<br>Klariskrays. Pero esa creación también casi<br>sucumbió a la Oscuridad Profunda."
ra_034030,1,al_020050_0050,"Uno pensaría que Xion regresaría antes de que se hiciera el<br>segundo, arreglaría todo,<br>y seguiría adelante, pero... no pudieron."
ra_034030,1,al_020050_0060,Porque eso significaría jugar con<br>la existencia misma del Segundo. Con la vida misma.
ra_034030,1,al_020050_0070,Siempre pensé que la culpa y el arrepentimiento de Xion<br>provinieron de otorgarles a los Photoners<br>conocimiento en primer lugar.
ra_034030,1,al_020050_0080,Pero no. Se trataba del Segundo.<br>Todo lo que hizo Xion fue intentar y<br>compensarla.
ra_034030,1,al_020050_0090,Era como una hija para Xion.<br>Debe haber sido duro...
ra_034030,1,al_020050_0100,Pero es por eso que Xion quería salvarla<br>tan desesperadamente. Y por qué te pidieron ayuda<br>...
ra_034030,1,al_020050_0110,"Todo este viaje en el tiempo realmente me ha enseñado mucho.<br>Todavía hay muchas cosas que no entiendo, por supuesto."
ra_034030,1,al_020050_0120,Pero ya no podemos simplemente viajar atrás en el tiempo.<br>Ahora necesitamos reunir los recuerdos<br>fragmentados que podamos y reconstruir<br>la verdad nosotros mismos.
