section,group,id,text
kirara,0,Kirara_01_10,ん？　どうしたんだよ？<br>ふーん。パーティー参加希望、なあ……
kirara,0,11_voice_NPC_5052_104,おたくも知ってると思うけど<br>オレほどのアークスになると<br>結構忙しいんだぜ？
kirara,0,Kirara_01_30,それに、そういうのはもっと<br>面倒見のいいヤツがいいと思うぜ！<br>おたくとかな！
kirara,1,Kirara_01_10,"¿Dilo de nuevo, amigo?<br>¿Quieres que me una a tu partido?"
kirara,1,11_voice_NPC_5052_104,"Mira, amigo, ya sabes cómo es.<br>Una operación de ARKS llega al nivel en el que estoy,<br>llegas a estar bastante ocupado."
kirara,1,Kirara_01_30,"Así que dejemos el trabajo de caridad en manos de los sangrientos<br>corazones y buenos samaritanos ahí fuera.<br>¡Como tú, amigo!"
sierra,0,11_voice_NPC_5052_102,何がトリックオアトリートだよ。<br>お菓子をあげて、キャッキャウフフ……<br>男はな！　硬派に生きんだよ！
sierra,0,sierra_020,っておたく、いつからいたわけ？<br>え、これ食っていいの？　ラッキー！<br>っておい……この見た目、やばくね？
sierra,0,11_voice_NPC_5052_106,え、女の子が感想を欲しがってる？<br>仕方ねえ……オレも男だ。ままよ……！<br>……ぐはっ、ぶほっ！　い、いってえ！
sierra,0,sierra_040,はぁ……はぁ……これマジすっげーや。<br>頭が強打されたみてえで、目の前に星が<br>チカチカして、口の中は鉄の味だぜ……
sierra,0,11_voice_NPC_5052_107,ま、まだあんのか……ってうめええ！<br>優しい口当たり、この弾ける果実感！<br>マジやべーよ、泣けてきたぜ……
sierra,1,11_voice_NPC_5052_102,"Eh, pide dulces a mi trasero. La gente se vuelve loca<br>¿Por unos cuantos chicles o algo así? Eso<br>¡No es para hombres de sangre roja como este tipo!"
sierra,1,sierra_020,"Vaya, amigo, ¿cuánto tiempo llevas ahí parado?<br>Espera, ¿está bien si como esto? ¡Diablos, sí!<br>...¿Qué? ¿Qué pasa con la cara?"
sierra,1,11_voice_NPC_5052_106,"Oh, ¿querías comentarios de una dama? Bien,<br>cry me a river, pal, 'cause I'm as man as they<br>¡venir! Por la escotilla... ¡MMGRHPH! ¡AY!"
sierra,1,sierra_040,"*huff* *puff* Mierda, amigo. esto no es no<br>joke. I feel like I bonked my head. I'm seein'<br>estrellas, mi boca sabe a hierro..."
sierra,1,11_voice_NPC_5052_107,"Aún hay más... ¡Mrph! MALDITA, amigo, esto<br>¡normas! ¡Estos sabores sutiles! Ese estallido de fruta<br>cuando muerdes! ¡Estoy... estoy destrozando, amigo!"
C001,0,11_voice_NPC_5052_106,おたく、なんだか頼りなさそうだなぁ。<br>そんなんでアークスやってけんの？
C001,1,11_voice_NPC_5052_106,"No pareces muy confiable, amigo. Ellos dejan<br>¿A la gente como tú le gusta ARKS?"
C002,0,11_voice_NPC_5052_102,な、なかなかやるみたいじゃん！<br>まあ、オレが隠された力を発揮すれば<br>足下にも及ばなくなるけどな！
C002,1,11_voice_NPC_5052_102,"¡Vaya, está bien, eres muy fuerte!<br>Pero tu trasero no podría acercarse a mí si tirara<br>Mis poderes ocultos, ¿me entendiste?"
C003,0,11_voice_NPC_5052_102,な、なかなかやるみたいじゃん！<br>まあ、オレが隠された力を発揮すれば<br>足下にも及ばなくなるけどな！
C003,1,11_voice_NPC_5052_102,"¡Vaya, está bien, eres muy fuerte!<br>Pero tu trasero no podría acercarse a mí si tirara<br>Mis poderes ocultos, ¿me entendiste?"
C004,0,11_voice_NPC_5052_100,すごいことを素直にすごいって<br>認めるのも、実力者の役目なんだぜ！
C004,1,11_voice_NPC_5052_100,Admittin' when something's awesome is one<br>de las responsabilidades que conlleva ser un<br>pez gordo como yo!
C005,0,11_voice_NPC_5052_100,すごいことを素直にすごいって<br>認めるのも、実力者の役目なんだぜ！
C005,1,11_voice_NPC_5052_100,Admittin' when something's awesome is one<br>de las responsabilidades que conlleva ser un<br>pez gordo como yo!
C006,0,11_voice_NPC_5052_100,すごいことを素直にすごいって<br>認めるのも、実力者の役目なんだぜ！
C006,1,11_voice_NPC_5052_100,Admittin' when something's awesome is one<br>de las responsabilidades que conlleva ser un<br>pez gordo como yo!
C007,0,11_voice_NPC_5052_101,ま、まあ、最近のアンタの活躍は<br>なかなかのもんなんじゃねえの？<br>オレと気安く話せるだけはあるよな。
C007,1,11_voice_NPC_5052_101,"B-Bueno, no te ha ido tan mal, amigo. I<br>Supongo que te ganaste el derecho a hablar libremente.<br>conmigo."
C008,0,11_voice_NPC_5052_101,ま、まあ、最近のアンタの活躍は<br>なかなかのもんなんじゃねえの？<br>オレと気安く話せるだけはあるよな。
C008,1,11_voice_NPC_5052_101,"B-Bueno, no te ha ido tan mal, amigo. I<br>Supongo que te ganaste el derecho a hablar libremente.<br>conmigo."
