section,group,id,text
MainText,0,name010,ラン
MainText,0,text010,アークス各員に通達します。<br>その付近で、極めて強力なドールズの反応が確認されました。
MainText,0,text020,過去のデータから、<br>戦域統制型ドールズ“レヌス・ヴェラ”のものと思われます。
MainText,0,text030,レヌス・ヴェラは巨大ですが俊敏で、多彩な攻撃を仕掛けてきます。<br>動きをよく見て、冷静に対処してください。
MainText,0,text040,ご健闘をお祈りし
MainText,1,name010,Corrió
MainText,1,text010,Llamando a todos los defensores de ARKS. Se ha detectado una unidad DOLLS increíblemente poderosa<br>en las proximidades designadas.
MainText,1,text020,"Según datos anteriores, creemos que se trata de la unidad del Comando DOLLS <br>, Renus Vera."
MainText,1,text030,alm and watch its movements carefully to respond to them properly.
MainText,1,text040,Buena suerte ahí fuera.
