section,group,id,text
type3,0,DarkerTrapCageLookingIn,$(0)さんの<br>座標はつかんでいます！<br>レーダーマップに送っておきますね！
type3,0,DarkerTrapCageAttackFirst,ファンジはすっごくカタいですけど<br>破壊することができますからね！<br>協力して、壊しちゃってください！
type3,0,DarkerTrapCageAttackHalf,/face2 ファンジ破壊率が５０％を超えました！<br>無力化まであと少し！<br>頑張って、頑張ってー！
type3,1,DarkerTrapCageLookingIn,¡Tengo las coordenadas de $(0)! Los subiré<br>a tu mapa de radar.
type3,1,DarkerTrapCageAttackFirst,"Los Fhangees son duros,<br>¡pero PUEDEN ser destruidos!<br>¡Trabajad juntos para acabar con ellos!"
type3,1,DarkerTrapCageAttackHalf,/face2 ¡El daño del Fhangee está al 50%! <br>Sólo un poco más y podremos neutralizarlo. <br>¡Sigue así!
type9f,0,DarkerTrapCageLookingIn,$(0)さんの<br>座標はつかんでいます！<br>レーダーマップに送りますね！
type9f,0,DarkerTrapCageAttackFirst,ファンジは、とても硬質ですが<br>協力して、破壊してください！
type9f,0,DarkerTrapCageAttackHalf,/face2 ファンジ破壊率が５０％を超えました！<br>無力化まであと少しです！<br>頑張ってください！
type9f,1,DarkerTrapCageLookingIn,¡Tengo las coordenadas de $(0)! Los subiré<br>a tu mapa de radar.
type9f,1,DarkerTrapCageAttackFirst,Los Fhangees son extremadamente duros. <br>¡Trabajad juntos para destruirlos!
type9f,1,DarkerTrapCageAttackHalf,/face2 ¡El daño del Fhangee está al 50%! <br>Sólo un poco más y podremos neutralizarlo. <br>¡Sigue así!
