section,group,id,text
TutorialText,0,Title,このクエストについて
TutorialText,0,text0001,<br>ハイスコアを目指すことが目的<c>となる。<br><br>また、<yellow>すべてのエネミーには<br>闇属性弱点を付与している。<c><br>適切に活用してほしい。
TutorialText,0,text0002,れており、達成することによって<br><yellow>スコアの上昇倍率が向上<c>する。<br><br>なお、スコアが上昇するに伴い<br>トライアルオーダーの難易度も上がる。<br>他の参加者との連携を意識せよ。
TutorialText,0,text0003,<br><br>これらは達成は困難ではあるが<br><yellow>通常のトライアルオーダーよりも<br>達成時のスコアの上昇倍率が<br>高く設定されている。<c>
TutorialText,0,text0004,<yellow>アークマスーツ<c>などの<c 00ffff>特定のコスチュームや<br>レイヤリングウェアを装備している場合に<br>ＰＳＥ「コスチュームボーナス」の効果を<br>受ける<c>ことができる。<br><c 00ffff>「コスチュームボーナス」<c>は獲得経験値と<br>レアアイテムのドロップ倍率が上昇する。<br><br><yellow>※ＰＳＥ効果はこのクエスト限定であり、<br>途中で効果を受けないコスチュームに<br>変更した場合は効果が解除されます。<br>また、対象コスチュームの詳細は<br>プレイヤーズサイトをご覧ください。<c>
TutorialText,0,text0005,クエストクリアの報酬は<br>終了時のスコアに応じて変化する。<br><br>スコアはクエストの参加者全員で<br>共有しているため、他のプレイヤーと協力し<br>ハイスコアを記録せよ。<br><red>※戦闘不能のプレイヤーも<br>　クエスト終了時に復活します<c><br><br>クエストの説明は以上である。<br>貴君らの奮闘に期待している。
TutorialText,1,Title,Acerca de esta misión
TutorialText,1,text0001,"Gracias por ensamblar. He creado Arkumaland, una misión de entrenamiento que<br>utiliza un entorno de realidad virtual.<br><br>En esta misión, tu objetivo es <yellow>destruir muchos enemigos dentro del<br>time limit<c> to rack up a high score. <yellow><br><br>He hecho que todos los enemigos sean débiles ante ataques oscuros,<c> así que te sugiero que aproveches<br>sobre esto."
TutorialText,1,text0002,Completar <c 00ffff>órdenes de prueba<c> será fundamental para lograr un alto<br>puntaje.<br><br><c 00ffff>Órdenes de prueba<c> se establecen en cada prueba de emergencia y se completan<br>ellos proporcionarán <yellow>un aumento considerable a tu multiplicador de puntuación.<c><br><br>Sepa que la dificultad de las órdenes de prueba aumentará a medida que aumente su puntuación.<br>Esté preparado para coordinar con otros participantes.
TutorialText,1,text0003,"Algunas órdenes de prueba son <red>órdenes de alta dificultad<c> que están diseñadas para ser<br>excepcionalmente desafiante. Cuidado con los códigos rojos de emergencia.<br><br>Completarlos no será tarea fácil, pero <yellow>proporcionarán una<br>Bonificación multiplicadora de puntuación más alta que las órdenes de prueba ordinarias.<c>"
TutorialText,1,text0004,"Recibirás un efecto de bonificación PSE al equipar ciertos atuendos o capas.<br>Use como el <yellow>Arkuma Suit<c>. Tu EXP obtenida y caída de artículos raros<br>La tasa aumentará mientras esté vigente un <c 00ffff>bono de vestimenta<c>.<br><br><yellow>Nota: Perderás un efecto activo si cambias a un efecto no calificado<br>traje en medio de la misión. Para obtener más detalles sobre los conjuntos aplicables, visite<br>el sitio del jugador.<c>"
TutorialText,1,text0005,"Tus recompensas por completar la misión dependerán de cuál sea tu puntuación cuando<br>lo terminas.<br><br>La puntuación se comparte entre todos los participantes de la misión, así que trabaja con tus compañeros.<br>jugadores para lograr la mejor puntuación posible.<br><red>Los jugadores incapacitados reviven cuando finaliza la misión.<c><br><br>Eso será todo para la descripción general de tu misión. Buena caza a todos."
