section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
mv_010210,0,mv_010210_0010,ハルコタンは表裏一体。<br>白と黒はけして交わらない。
mv_010210,0,mv_010210_0020,かつて、白と黒は争っていた。<br>争い始めた理由も忘れるぐらいに<br>長く、長く争ってきた。
mv_010210,0,mv_010210_0030,あるとき、戦争に疲弊した<br>白の王と黒の王が、和平を考えた。
mv_010210,0,mv_010210_0040,和睦の証として、白の王の娘と<br>黒の王の息子が結婚した。<br>そうして、一時、戦争は終わった。
mv_010210,0,mv_010210_0050,だが、白と黒の夫婦から産まれた子は<br>灰色をしていた。体躯も小さく<br>成長もせず、黒でも白でもなかった。
mv_010210,0,mv_010210_0060,白の王は言う、黒の息子が悪いと。<br>黒の王は言う、白の娘が悪いと。<br>……そして、再び戦いは始まった。
mv_010210,0,mv_010210_0070,黒の父と、白の母も争った。<br>灰の子は、それを止めようとした。
mv_010210,0,mv_010210_0080,……命を、賭して<br>父と母を、止めたのだ。
mv_010210,0,mv_010210_0090,……白と黒の夫婦は、正気に戻った。<br>灰の子の亡骸を抱え、星に願った。<br>自らの命を捧げ、灰の子を蘇らせた。
mv_010210,0,mv_010210_0100,蘇った灰の子は泣いた。<br>物言わぬ灰となった両親を<br>その手に溢れさせ、泣き続けた。
mv_010210,0,mv_010210_0110,その涙は、河を生み出した。<br>白と黒を切り分ける、永涙の河を。
mv_010210,0,mv_010210_0120,そうして、争いは終わった。<br>灰の子が、終わらせた。
mv_010210,0,mv_010210_0130,それでも灰の子は、祈り続ける。<br>慟哭とともに燃え尽きた両親のために。<br>父と母の慟哭が、形とならぬように。
mv_010210,1,mv_010210_0010,Harukotan es un lugar donde la contradiccion reina<br>suprema. El dia y la noche nunca se entrelazan.
mv_010210,1,mv_010210_0020,Apestaste tan largo que nadie pudo ni siquiera recordar que era sobre lo
mv_010210,1,mv_010210_0030,"Finalmente, el seйor del Dia y el Seйor de la Noche<br>vinieron a desear paz."
mv_010210,1,mv_010210_0040,"La prueba de la paz se llevo a cabo mediante el matrimonio del hijo del Seйor de la Noche con la hija del Seйor del Dia,<br>y durante un tiempo, la guerra termino."
mv_010210,1,mv_010210_0050,". Cuerpo pequeйo y crecimiento estancado, ni oscuro ni claro."
mv_010210,1,mv_010210_0060,"El seйor del Dia dijo que el hijo de la noche era malo. Por la cuenta del Seйor de la Noche, la culpa era de la hija del seйor del dia.<br><br><br>"
mv_010210,1,mv_010210_0070,"Los padres de la noche y la madre del Dia se unieron al conflicto, y el niйo gris intento detenerlo."
mv_010210,1,mv_010210_0080,La vida fue puesta en apuestas<br>deteniendo a sus padres de luchar.
mv_010210,1,mv_010210_0090,"El seйor del Dia y la Seйora de la Noche se devolvieron la cordura, tomaron las cenizas de su hijo alabado y pidio a los astros <br>para que su vida fuera sacrificada. El niйo gris fue revivido."
mv_010210,1,mv_010210_0100,"El niйo Gris lloro con lagrimas de su rostro. Sus padres convertidos en cenizas,<br><br>fallecieron en sus manos"
mv_010210,1,mv_010210_0110,"sus lagrimas crearon un rio - eterno, para separar el Dia y la Noche."
mv_010210,1,mv_010210_0120,Asi termino la guerra. El niйo gris fue el que lo hizo.
mv_010210,1,mv_010210_0130,A pesar de que el Niйo de cenizas sigue orando por los dos <br>que se queman en cenizas debido a su dolor. El Niйo continua orando y <br>espera en su corazon
