section,group,id,text
common,0,IncidentName,希少エネミー討伐
common,0,TrialBeginMsg,希少エネミーを倒せ！
common,0,TrialAbstract,希少エネミーを倒せ！
common,0,TargetName,討伐対象を全て
common,1,IncidentName,Supresión de enemigos poco comunes
common,1,TrialBeginMsg,¡Derrota al raro enemigo!
common,1,TrialAbstract,¡Derrota al raro enemigo!
common,1,TargetName,Todos los objetivos de supresión
type1,0,NpcComOnPreBegin,目標の達成を確認……いえ、これは<br>別の敵性反応を確認しました。<br>各員、周囲を警戒して下さい。
type1,0,NpcComOnBegin,希少種の反応を確認しました。<br>各員、対処をお願いします。
type1,0,NpcComOnSuccess,お疲れ様でした。<br>迅速な対処に感謝します。
type1,1,NpcComOnPreBegin,"Objetivo cumplido... Espera, leyendo una nueva<br>presencia enemiga... Todas las operaciones, mantente alerta."
type1,1,NpcComOnBegin,"Especies raras detectadas. Todas las operaciones, muévanse para atacar."
type1,1,NpcComOnSuccess,Bien hecho. Se agradece su rápida acción.
type2,0,NpcComOnPreBegin,目標の達成を確認した……いや、待て。<br>まだ周囲に反応がある。<br>警戒を怠るな。
type2,0,NpcComOnBegin,希少なエネミーのようだな……<br>各員、速やかに対処せよ。
type2,0,NpcComOnSuccess,反応、完全に消失。<br>不意の敵襲だったが、よくやったな。
type2,1,NpcComOnPreBegin,Objetivo completado... espera. Todavía estoy captando lecturas de<br>en los alrededores. Manténgase alerta.
type2,1,NpcComOnBegin,Enemigo raro a la vista... Encárgate de él de inmediato.
type2,1,NpcComOnSuccess,No se detectaron mas lecturas. <br>Manejaste bien esa emboscada.
type3,0,NpcComOnPreBegin,目標の達成を確認……って、あれれ？<br>さらに敵さんの反応があるような……<br>注意注意、気をつけて下さいー！
type3,0,NpcComOnBegin,むむっ、珍しい敵さんまで<br>来ちゃったみたいですね！<br>対処をよろしくお願いしますー！
type3,0,NpcComOnSuccess,珍しいこともあるものですねぇ。<br>なにはともあれ、お疲れ様ですっ！
type3,1,NpcComOnPreBegin,"Objetivo cumplido... Vaya, vaya... Parece que<br>tienes más compañía. Manténgase en alerta máxima."
type3,1,NpcComOnBegin,Genial... ¡Ahora tengo un enemigo poco común a la vista! <br>¡Sácalos rápido y rápido!
type3,1,NpcComOnSuccess,Eso es algo que no se ve todos los días.<br>¡Excelente trabajo!
type6,0,NpcComOnPreBegin,目標達成を確認……いえ<br>さらなる敵性反応を感知。<br>すぐ近くです。警戒を。
type6,0,NpcComOnBegin,データによると、新たに出現した<br>敵性存在は、希少種のようです。<br>適時対処を。
type6,0,NpcComOnSuccess,敵性存在の反応、完全消失。<br>不意の襲撃ながら、見事な対応でした。
type6,1,NpcComOnPreBegin,Objetivo cumplido... Tacha eso... Más<br>enemigos detectados cerca. Manténgase concentrado.
type6,1,NpcComOnBegin,"Mis datos indican que esta nueva presencia enemiga es una<br>especie rara. Cuando sea el momento adecuado, sácalos <br>."
type6,1,NpcComOnSuccess,"Presencia enemiga erradicada. Trabajas bien bajo<br>presion, debo decir."
type9,0,NpcComOnPreBegin,目標達成を確認……ん、あれ？<br>なんだか不思議な反応があります。<br>注意してもらえますか。
type9,0,NpcComOnBegin,あ！　これ、希少種の反応なんですね！<br>対処をお願いします！
type9,0,NpcComOnSuccess,お疲れさまでした！<br>おかげさまで、新しいデータを<br>集めることができました！
type9,1,NpcComOnPreBegin,"Objetivo completado... ¿eh? Tengo una lectura extraña de<br>aquí. Manténgase alerta, si no le importa."
type9,1,NpcComOnBegin,"¡Oh, vaya! ¡Estoy recogiendo una especie rara! <br>¡Prepárate para participar!"
type9,1,NpcComOnSuccess,¡Buen trabajo! ¡Gracias a ti tenemos<br>datos nuevos!
type9f,0,NpcComOnPreBegin,目標達成を確認……ん、あれ？<br>なんだか不思議な反応があります。<br>注意してもらえますか。
type9f,0,NpcComOnBegin,あ！　これ、希少種の反応なんですね！<br>対処をお願いします！
type9f,0,NpcComOnSuccess,お疲れさまでした！<br>おかげさまで、新しいデータを<br>集めることができました！
type9f,1,NpcComOnPreBegin,"Objetivo completado... ¿eh? Tengo una lectura extraña de<br>aquí. Manténgase alerta, si no le importa."
type9f,1,NpcComOnBegin,"¡Oh, vaya! ¡Estoy recogiendo una especie rara! <br>¡Prepárate para participar!"
type9f,1,NpcComOnSuccess,¡Buen trabajo! ¡Gracias a ti tenemos<br>datos nuevos!
