section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,???
CharaName,1,name02,???
CharaName,0,un_037080_0010,<%me>様ー！<br>お話は伺いました！
CharaName,0,un_037080_0020,その心中の無念さ、残念さ。<br>私にも痛いほどよくわかります。
CharaName,0,un_037080_0030,ですが、どうか諦めることなく<br>己の思いのままに、なすべきことを<br>なさってください！
CharaName,0,un_037080_0040,そうすれば、必ず道は開かれます！<br>私の経験談です！　間違いありません！
CharaName,0,un_037080_0050,そのためなら、不肖私<br>粉骨砕身の覚悟で、貴方様のお力に<br>なることを、ここに誓いますわ！
CharaName,0,un_037080_0060,……暑苦しいだろうが<br>カトリの言っていることは<br>そう間違いでもない。
CharaName,0,un_037080_0070,やらねば、可能性はゼロのまま。<br>やってみれば、可能性は生まれる。<br>万事、そういうものだ。
CharaName,0,un_037080_0080,カトリがものの役に立つかは疑問だが<br>私達もアークスの一員として<br>協力は惜しまない。
CharaName,0,un_037080_0090,どーん、と、大船に乗ったつもりで<br>私達を頼って下さいね！<br><%me>様！
CharaName,1,un_037080_0010,¡Escuche todo sobre esto! ¡Sobre todo!
CharaName,1,un_037080_0020,"The regret and sorrow for that double suicide.<br>I understand it well, and it pains me."
CharaName,1,un_037080_0030,"Still, please do not give up. Please do what<br>needs to be done while bearing those thoughts."
CharaName,1,un_037080_0040,"If you do that, a path will surely open for you.<br>I know from experience! Trust me!"
CharaName,1,un_037080_0050,漀昀 栀攀氀瀀 琀漀㰀戀爀㸀礀漀甀Ⰰ 愀渀搀 䤀 瀀氀攀搀最攀 洀礀 搀攀瘀漀琀椀漀渀 琀漀 礀漀甀 㰀戀爀㸀爀椀最栀琀 栀攀爀攀 愀渀搀 渀漀眀℀
CharaName,1,un_037080_0060,"...The heat is oppressive, but there is no<br>mistaking my words to you."
CharaName,1,un_037080_0070,"If you do nothing, there is no potential.<br>Potential is born from volition. That's the way<br>of all things."
CharaName,1,un_037080_0080,䬀匀㰀戀爀㸀漀瀀攀爀愀琀椀瘀攀猀Ⰰ 猀漀 眀攀 眀椀氀氀 瀀甀琀 愀氀氀 漀昀 漀甀爀 攀昀昀漀爀琀㰀戀爀㸀椀渀琀漀 眀漀爀欀椀渀最 眀椀琀栀 礀漀甀⸀
CharaName,1,un_037080_0090,Fear not! Consider us your sturdy bedrock. <br>Do speak up if you need something!
