section,group,id,text
TutorialText,0,Title,チームへの加入方法
TutorialText,0,text0001,쬰넰ﰰ뜰ᴰ䬠褰İ㰰戀爀㸀ᰀ퀰ﰰ�왒ⶖ湎섰ﰰᰰ≩ᵽ鈠砰麐奢謰匰栰朰İ㰰戀爀㸀퀰ﰰ鈰�왒垖昰䐰謰섰ﰰ鈰ᰰ≩杽䴰縰夰Ȱ0ᰀ≩偽鱽䭧褰İ섰ﰰര鉔砰麐奢謰栰İ㰰戀爀㸀ﬀ섰ﰰ猰り멽赸㲊戀爀㸀ﬀ섰ﰰꄰٻմ몀赸㲊戀爀㸀ﬀ섰ﰰꄰٻմ殀攰㍖쭵㲊戀爀㸀䰀栰㪈啹谰縰夰Ȱ0㰀礀攀氀氀漀眀㸀ᰀ선ﰰꄰٻմ殀攰㍖쭵ᶊ㰠挀㸀鈀砰玐İ㰰戀爀㸀섀ﰰꄰٻմ殀攰㍖쭵銊İ誐縰夰Ȱ㰰戀爀㸀㰀戀爀㸀㌀쭵䲊缰赢喊谰謰栰İ崰渰섰ﰰ欰ꀰ敒村䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀樀䨰İ섰ﰰ䰰耰湔㐰ࡘ橔椰İ똰셲歬蠰訰㰰戀爀㸀攀㍖쭵䲊朰䴰樰䐰㐰ࡘ䱔䈰訰縰夰Ȱ0ᰀ선ﰰ猰り멽赸ᶊ漠İ㰰戀爀㸀섀ﰰ�萰퀰ﰰ瀰橥椰İ㰰戀爀㸀섀ﰰ欰ꈰ妕謰씰ㅠ鉘먰赸枊䴰縰夰Ȱ0ᰀ선ﰰꄰٻմ몀赸ᶊ漠İ㰰戀爀㸀섀ﰰ�뤰뼰ﰰ栰�촰ﰰ렰ﰰ渰㰰戀爀㸀휀ꐰﰰ䤰䐀촀ﰰ鈰먰赸枊䴰縰夰Ȱ0吀瑵牯慩呬硥t
TutorialText,0,text0002,検索結果から、チーム名を選択すると、<br>・チーム詳細確認<br>・チーム管理者確認<br>・チーム管理者に入団申請<br>が表示されます。
TutorialText,0,text0003,栰İ崰渰섰ﰰ欰ꀰ敒村䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀樀䨰İ섰ﰰ䰰耰湔㐰ࡘ橔椰İ똰셲歬蠰訰㰰戀爀㸀攀㍖쭵䲊朰䴰樰䐰㐰ࡘ䱔䈰訰縰夰Ȱ0ᰀ선ﰰ猰り멽赸ᶊ漠İ㰰戀爀㸀섀ﰰ�萰퀰ﰰ瀰橥椰İ㰰戀爀㸀섀ﰰ欰ꈰ妕謰씰ㅠ鉘먰赸枊䴰縰夰Ȱ0ᰀ선ﰰꄰٻմ몀赸ᶊ漠İ㰰戀爀㸀섀ﰰ�뤰뼰ﰰ栰�촰ﰰ렰ﰰ渰㰰戀爀㸀휀ꐰﰰ䤰䐀촀ﰰ鈰먰赸枊䴰縰夰Ȱ0吀瑵牯慩呬硥t
TutorialText,0,text0004,“チーム詳細確認”は、<br>チームレベルやメンバー数など、<br>チームに関する情報を確認できます。
TutorialText,0,text0005,“チーム管理者確認”は、<br>チームマスターとマネージャーの<br>プレイヤーIDネームを確認できます
TutorialText,1,Title,Cómo unirse a una alianza
TutorialText,1,text0001,礀 刀攀挀爀甀椀琀椀渀最 䄀氀氀椀愀渀挀攀猀崀 昀爀漀洀 嬀䌀漀洀洀甀渀椀挀愀琀椀漀渀猀崀Ⰰ 礀漀甀 挀愀渀 猀攀愀爀挀栀 昀漀爀 䄀氀氀椀愀渀挀攀猀 琀栀愀琀 愀爀攀 挀甀爀爀攀渀琀氀礀 氀漀漀欀椀渀最 昀漀爀 渀攀眀 洀攀洀戀攀爀猀⸀
TutorialText,1,text0002,Detalles<br>・Confirmar Supervisor de Alianza<br>・Solicitud de Miembro al Supervisor de Alianza
TutorialText,1,text0003,capacidad.
TutorialText,1,text0004,"Confirmar detalles de la alianza muestra información sobre la alianza, como el nivel de la alianza y cuántos miembros tiene."
TutorialText,1,text0005,Confirmar que el supervisor de la alianza muestra el nombre de identificación del jugador del supervisor y gerente de la alianza.
