section,group,id,text
innocent,0,TALK_FAV4,私はサポートパートナー。<br>マスターのお役に立つことが<br>何よりの喜びです。
innocent,0,TALK_FAV3,私はサポートパートナー。<br>マスターのお役に立つことが<br>何よりの喜びです。
innocent,0,TALK_FAV2,私はサポートパートナー。<br>マスターのお役に立つことが<br>何よりの喜びです。
innocent,0,TALK_FAV1,私はサポートパートナー。<br>マスターのお役に立つことが<br>何よりの喜びです。
innocent,0,TALK_FAV0,私はサポートパートナー。<br>マスターのお役に立つことが<br>何よりの喜びです。
innocent,0,PERSENT_FAV4,マスター、大したものでは<br>ありませんが、私からの贈り物<br>受け取っていただけますか。
innocent,0,PERSENT_FAV3,これをお受け取り下さい。<br>日頃のお礼を形にしました。
innocent,0,PERSENT_FAV2,私からの贈り物です。<br>お受け取り下さい。
innocent,0,PERSENT_FAV1,こちらをどうぞ。
innocent,0,PERSENT_FAV0,差し上げます。
innocent,1,TALK_FAV4,Soy tu auxiliar. Ayudar a mi Handler trae<br>me da más alegría que cualquier otra cosa en el mundo.
innocent,1,TALK_FAV3,Soy tu auxiliar. Ayudar a mi Handler trae<br>me da más alegría que cualquier otra cosa en el mundo.
innocent,1,TALK_FAV2,Soy tu auxiliar. Ayudar a mi Handler trae<br>me da más alegría que cualquier otra cosa en el mundo.
innocent,1,TALK_FAV1,Soy tu auxiliar. Ayudar a mi Handler trae<br>me da más alegría que cualquier otra cosa en el mundo.
innocent,1,TALK_FAV0,Soy tu auxiliar. Ayudar a mi Handler trae<br>me da más alegría que cualquier otra cosa en el mundo.
innocent,1,PERSENT_FAV4,"No es más que una nimiedad, Handler, pero<br>¿Aceptas este regalo de mi parte?"
innocent,1,PERSENT_FAV3,Por favor acepte este regalo como muestra de mi<br>gratitud.
innocent,1,PERSENT_FAV2,Este es un regalo de mi parte. Por favor acéptelo.
innocent,1,PERSENT_FAV1,Aquí tiene.
innocent,1,PERSENT_FAV0,Permíteme darte esto.
