section,group,id,text
common,0,TrialName_1Enemy,$(0)討伐
common,0,TrialBeginMsg_1Enemy,出現した$(0)を倒せ！
common,0,TrialAbstract_1Enemy,$(0)を倒す
common,0,TrialName_Multi,協調エネミー討伐
common,0,TrialBeginMsg_Multi,２体のエネミーを同時に倒せ！
common,0,TrialAbstract_Multi,エネミーを同時に倒す
common,1,TrialName_Multi,Supresión enemiga cooperativa
common,1,TrialBeginMsg_Multi,¡Derrota a dos enemigos a la vez!
common,1,TrialAbstract_Multi,Derrota a los enemigos simultáneamente.
type105,0,NpcComOnForetaste,＊＊相互蘇生トライアル予兆
type105,0,NpcComOnBegin,複数のエネミー反応を確認しました！<br>それぞれのエネミーが共鳴しているみたい。警戒してください。
type105,0,NpcComOnBegin1,複数のエネミー反応を確認しました！<br>それぞれのエネミーが共鳴しているみたい。警戒してください。
type105,0,NpcComOnSuccess,エネミーの殲滅を確認！<br>ありがとうございます。
type105,0,NpcComOnSuccess1,エネミーの殲滅を確認！<br>ありがとうございます。
type105,0,NpcComOnFailure,あらら……エネミーが撤退。<br>気を取り直して、別の目標を探しましょう。
type105,0,NpcComOnFailure1,あらら……エネミーが撤退。<br>気を取り直して、別の目標を探しましょう。
type105,0,NpcComOnDown,エネミーが活動を停止！<br>もう１体を狙ってください。
type105,0,NpcComOnResurrect,エネミーが活動を再開！<br>攻撃に注意してくだ
type105,1,NpcComOnBegin1,¡Múltiples lecturas enemigas confirmadas!<br>Los enemigos parecen estar resonando entre sí. Por favor tenga cuidado.
type105,1,NpcComOnSuccess1,¡Aniquilación enemiga confirmada!<br>Gracias.
type105,1,NpcComOnFailure1,Oh... el enemigo se está retirando.<br>Volvamos al buen camino y busquemos un objetivo diferente.
type105,1,NpcComOnDown,¡Un enemigo está fuera de combate!<br>Ve tras el otro.
type105,1,NpcComOnResurrect,¡El enemigo ha vuelto!<br>Concéntrate en tus ataques.
