section,group,id,text
common,0,IncidentName,イグニクスから逃れ、元凶を撃破せよ！
common,0,TrialBeginMsg,元凶のエネミーを倒し<br>イグニクスを停止させろ！
common,0,TrialAbstract,元凶のエネミーを倒し<br>イグニクスを停止させろ！
common,1,IncidentName,¡Huye del Ignix y destruye al comandante!
common,1,TrialBeginMsg,¡Derrota al enemigo a cargo y apaga el Ignix!
common,1,TrialAbstract,¡Derrota al enemigo a cargo y apaga<br>el Ignix!
type1,0,NpcComOnBegin,異常エネルギーの爆発を検知！<br>これは、イグニクスと呼称される<br>ダーカーの空間制圧兵器です！
type1,0,NpcComOnBegin1,イグニクスは時間と共に範囲を広げ<br>脅威を増していきます！<br>至急、その場から移動してください！
type1,0,NpcComOnBegin2,どこかに元凶となる敵性存在が<br>いるはずです。爆発に注意しつつ<br>早急な撃破をお願いします！
type1,0,NpcComBossInfo,$(0)！<br>そのエネミーが現象の元凶です！<br>至急撃破を！
type1,0,NpcComOnSuccess,敵性存在の消失確認と同時に<br>イグニクスの反応も消滅しました。<br>お疲れ様でした。
type1,1,NpcComOnBegin,"Detectando explosiones con una extraña energía<br>lectura! Estos deben ser Ignix, un arma de supresión de área Falspawn <br>."
type1,1,NpcComOnBegin1,"El alcance del Ignix aumenta con el tiempo, por lo que<br>solo se volverá más peligroso permanecer<br>allí. ¡Muévete!"
type1,1,NpcComOnBegin2,Debe haber un enemigo controlándolos<br>desde algún lugar. Sácalo rápidamente e intenta que<br>no explote.
type1,1,NpcComBossInfo,¡Cuesta $(0)! ¡Eso es lo que está causando este desastre!<br>¡Destrúyelo de una vez!
type1,1,NpcComOnSuccess,La presencia enemiga ha desaparecido y el Ignix<br>con ellos. Trabajo bien hecho.
type2,0,NpcComOnBegin,イグニクスと呼称されている<br>ダーカーの空間制圧兵器の発動を確認。<br>至急、その場から移動しろ。
type2,0,NpcComOnBegin1,イグニクスは時間とともに<br>その効果範囲を広げる性質を持つ。
type2,0,NpcComOnBegin2,どこかに元凶となる存在がいるはずだ。<br>早急に見つけだし、撃破しろ。
type2,0,NpcComBossInfo,$(0)か。<br>そいつが元凶のようだな。<br>ただちに撃破しろ。
type2,0,NpcComOnSuccess,敵性反応の消失とともに<br>イグニクスの反応も消滅を確認。<br>よし、通常任務に戻れ。
type2,1,NpcComOnBegin,"Confirmé la activación de Ignix, un tipo<br>de arma de supresión de área Falspawn.<br>Salga del área inmediatamente."
type2,1,NpcComOnBegin1,Ignix amplía su rango de ataque con el tiempo.
type2,1,NpcComOnBegin2,Lo que sea que controle el Ignix debe estar en<br>esa área. Encuéntralo y destrúyelo.
type2,1,NpcComBossInfo,"¡Mira, son $(0)!<br>¡Ese es tu culpable! ¡Sacalo! ¡Rapidamente!"
type2,1,NpcComOnSuccess,"La presencia enemiga ha desaparecido y el Ignix<br>con ellos. Muy bien, volvamos a tu misión habitual <br>."
type3,0,NpcComOnBegin,ええっ？　爆発！？<br>これはもしかして、イグニクス！
type3,0,NpcComOnBegin1,その辺に爆発を発生させる<br>ダーカーの兵器ですよー！<br>危険、危険です！　急いで逃げてー！
type3,0,NpcComOnBegin2,どこかにイグニクスを発生させている<br>わるーい、敵さんがいます！<br>探して倒しちゃってください！
type3,0,NpcComBossInfo,あっ、$(0)！<br>あれが原因です！　あいつのせいです！<br>急いで撃破しちゃってくださいー！
type3,0,NpcComOnSuccess,敵性反応の消失にあわせて<br>イグニクスの沈静化を確認しましたー！<br>ふぅー、よかったです！
type3,1,NpcComOnBegin,¡Elimina a Shikigami y suprime el||TAG_0||||TAG_1||!
type3,1,NpcComOnBegin1,Son un tipo de arma Falspawn que<br>puede provocar explosiones en toda un área.<br>¡Son súper peligrosos! ¡¡Correr!!
type3,1,NpcComOnBegin2,Debe haber un enemigo desagradable controlando<br>el Ignix por ahí en alguna parte.<br>¡Encuéntralo y derrótalo!
type3,1,NpcComBossInfo,"¡Mira, son $(0)!<br>¡Ese es tu culpable! ¡Sacalo! ¡Rapidamente!"
type3,1,NpcComOnSuccess,"La presencia enemiga ha desaparecido, lo que también se ocupa de<br>del Ignix. Vaya... ¡Me alegro de que haya terminado!"
